Model,Metric,Error
baseline,MAE,334.6124791913259
baseline,MSE,201214.06200840502
baseline,MAE,295.62656102780727
baseline,MSE,159644.43669942592
baseline,MAE,336.8348450654409
baseline,MSE,213567.70850405554
baseline,MAE,325.7690112639061
baseline,MSE,198117.46031453164
baseline,MAE,296.21006111506847
baseline,MSE,167891.99973198617
baseline,MAE,298.9816058567712
baseline,MSE,157179.28454508504
baseline,MAE,315.96205164282253
baseline,MSE,180648.164469606
baseline,MAE,315.5740766389899
baseline,MSE,190081.054274759
baseline,MAE,360.0493030957353
baseline,MSE,242420.47461535377
baseline,MAE,340.9793928158535
baseline,MSE,214182.29653567757
TRTS,MAE,465.49711906583735
TRTS,MSE,393600.17117236514
TRTS,MAE,460.4870071439575
TRTS,MSE,386905.5029677125
TRTS,MAE,484.96827957530843
TRTS,MSE,417168.8252840775
TRTS,MAE,449.6034719109774
TRTS,MSE,360018.1538156245
TRTS,MAE,462.1368618281707
TRTS,MSE,387350.17507898214
TRTS,MAE,467.22782283112554
TRTS,MSE,396618.4195703405
TRTS,MAE,434.70708513207904
TRTS,MSE,346390.74689847464
TRTS,MAE,473.1647672623457
TRTS,MSE,406525.5514505191
TRTS,MAE,441.1872605316906
TRTS,MSE,363324.52056377224
TRTS,MAE,428.5725622725628
TRTS,MSE,335793.73707411677
TSTR,MAE,418.99486547675883
TSTR,MSE,348412.18471009954
TSTR,MAE,398.59690419469285
TSTR,MSE,328032.92776196514
TSTR,MAE,421.1584209081353
TSTR,MSE,343337.9788691468
TSTR,MAE,371.8841446885111
TSTR,MSE,296415.1422256042
TSTR,MAE,418.51566661390683
TSTR,MSE,347930.4637439035
TSTR,MAE,373.5786945816707
TSTR,MSE,303894.186818798
TSTR,MAE,385.3051352261517
TSTR,MSE,310340.6853764139
TSTR,MAE,394.9816755292212
TSTR,MSE,317578.18389087025
TSTR,MAE,377.1023719966129
TSTR,MSE,298591.3955161941
TSTR,MAE,339.7558187255444
TSTR,MSE,253294.4995832656
combined,MAE,348.21442442646975
combined,MSE,232770.39350515613
combined,MAE,295.38883795391286
combined,MSE,164025.86816485575
combined,MAE,289.6900495176187
combined,MSE,159995.93180043457
combined,MAE,302.7311677761057
combined,MSE,165699.47583251458
combined,MAE,312.1622524083978
combined,MSE,177950.94049866116
combined,MAE,285.50414088202166
combined,MSE,155092.81209943813
combined,MAE,316.1148392055005
combined,MSE,184797.564647545
combined,MAE,333.09233059872133
combined,MSE,202769.79030366905
combined,MAE,285.36951733190364
combined,MSE,149695.02722533757
combined,MAE,313.4351573231845
combined,MSE,178772.30333702097
