Model,Metric,Error
baseline,MAE,287.0243196014781
baseline,MSE,187177.10734725508
baseline,MAE,330.261917897733
baseline,MSE,227791.86163317502
baseline,MAE,302.70002581761224
baseline,MSE,202043.90783644328
baseline,MAE,379.7014412761201
baseline,MSE,287341.6545051792
baseline,MAE,319.5169482857455
baseline,MSE,217677.3938617165
baseline,MAE,351.6582647210453
baseline,MSE,259721.99060156202
baseline,MAE,355.45098362606956
baseline,MSE,252959.01543118514
baseline,MAE,296.0582616132161
baseline,MSE,194516.15707609034
baseline,MAE,369.72990898997534
baseline,MSE,275892.6003232502
baseline,MAE,314.0486168686767
baseline,MSE,215594.58664579832
TRTS,MAE,412.79783101109945
TRTS,MSE,323997.5718892134
TRTS,MAE,439.5886032552647
TRTS,MSE,365845.7649243696
TRTS,MAE,417.3351259311392
TRTS,MSE,325652.7041149902
TRTS,MAE,425.60211295766425
TRTS,MSE,341184.2699444613
TRTS,MAE,409.7836096365313
TRTS,MSE,320689.713358839
TRTS,MAE,411.2362475496851
TRTS,MSE,324876.8151518915
TRTS,MAE,406.54561195734925
TRTS,MSE,310159.298274013
TRTS,MAE,419.2856286780289
TRTS,MSE,335701.65375798853
TRTS,MAE,428.10328373160706
TRTS,MSE,345473.4926351296
TRTS,MAE,413.9270608927755
TRTS,MSE,323972.2153041204
TSTR,MAE,372.58504434818354
TSTR,MSE,306659.41156950523
TSTR,MAE,365.8655241257208
TSTR,MSE,297755.4645086433
TSTR,MAE,365.2798123527543
TSTR,MSE,291928.0356295018
TSTR,MAE,375.4315432798868
TSTR,MSE,307979.20635337615
TSTR,MAE,359.5151093508416
TSTR,MSE,288215.9308132596
TSTR,MAE,383.6536727702592
TSTR,MSE,313767.6173247038
TSTR,MAE,379.0737509180671
TSTR,MSE,307366.7775670641
TSTR,MAE,368.9364359308219
TSTR,MSE,300182.64467963367
TSTR,MAE,394.2643196916713
TSTR,MSE,332780.65090603766
TSTR,MAE,385.6942164087307
TSTR,MSE,322773.298790111
combined,MAE,279.08569131569385
combined,MSE,173269.47503760047
combined,MAE,351.8175683433543
combined,MSE,245868.91322178097
combined,MAE,292.90838836767176
combined,MSE,188878.47073617385
combined,MAE,283.44651571102764
combined,MSE,177050.9049510349
combined,MAE,289.19521730578316
combined,MSE,186876.79366482265
combined,MAE,279.38311962686913
combined,MSE,179625.30991750403
combined,MAE,278.8288415098166
combined,MSE,177702.34362799348
combined,MAE,287.1456778516817
combined,MSE,185590.61475604473
combined,MAE,289.98321383048534
combined,MSE,188744.6338737718
combined,MAE,275.0785001925033
combined,MSE,168329.73747624317
