Model,Metric,Error
baseline,MAE,354.9361994575027
baseline,MSE,228013.5372619159
baseline,MAE,330.6971383575009
baseline,MSE,207433.90599810763
baseline,MAE,318.53678217897533
baseline,MSE,192075.0216701511
baseline,MAE,359.1563465388518
baseline,MSE,238635.89415989377
baseline,MAE,356.4418799814204
baseline,MSE,229087.23661786062
baseline,MAE,346.8427233970921
baseline,MSE,218196.4173138018
baseline,MAE,327.6996573562353
baseline,MSE,192018.15682636172
baseline,MAE,315.8101408678881
baseline,MSE,183523.9803983423
baseline,MAE,350.8204311894279
baseline,MSE,234460.26959901082
baseline,MAE,294.4738868717367
baseline,MSE,159182.41240411086
TRTS,MAE,454.49507871270595
TRTS,MSE,375982.22820143885
TRTS,MAE,476.82057096970374
TRTS,MSE,419371.58040308603
TRTS,MAE,453.34725876059605
TRTS,MSE,383929.5930088354
TRTS,MAE,461.8015361251109
TRTS,MSE,397097.5201296429
TRTS,MAE,463.4665410051044
TRTS,MSE,396314.5156597025
TRTS,MAE,487.41111876975407
TRTS,MSE,435123.97638129
TRTS,MAE,479.3520532900042
TRTS,MSE,419169.92170450574
TRTS,MAE,446.77115739646143
TRTS,MSE,370820.2047830034
TRTS,MAE,456.44343642370296
TRTS,MSE,381860.687494199
TRTS,MAE,448.24658152379266
TRTS,MSE,375134.1032618263
TSTR,MAE,383.5889859817965
TSTR,MSE,299210.0313803389
TSTR,MAE,374.68210132727506
TSTR,MSE,293036.53180855984
TSTR,MAE,377.32428013405365
TSTR,MSE,288216.2349049391
TSTR,MAE,365.47851704131756
TSTR,MSE,274887.610821125
TSTR,MAE,406.1296777510436
TSTR,MSE,328285.3942680676
TSTR,MAE,374.58675207564306
TSTR,MSE,283655.8403281418
TSTR,MAE,393.3998470099617
TSTR,MSE,312170.56195231195
TSTR,MAE,379.3322256276548
TSTR,MSE,296613.94599882874
TSTR,MAE,355.3975618349749
TSTR,MSE,269780.3100044775
TSTR,MAE,399.5031737306678
TSTR,MSE,319266.0872479079
combined,MAE,294.1766467844951
combined,MSE,162805.6262227846
combined,MAE,295.52756190604
combined,MSE,168015.11784641177
combined,MAE,283.51531129739925
combined,MSE,151735.42581334742
combined,MAE,329.4505335447456
combined,MSE,191583.67412623487
combined,MAE,314.1647959027498
combined,MSE,182765.52023760593
combined,MAE,316.0501423341728
combined,MSE,188441.89665638638
combined,MAE,325.94432793476057
combined,MSE,198695.15392238364
combined,MAE,278.08124779447735
combined,MSE,151311.20742978962
combined,MAE,338.7254945161303
combined,MSE,222239.07258695204
combined,MAE,318.8133724480285
combined,MSE,186325.39876719922
