Model,Metric,Error
baseline,MAE,368.0368715801709
baseline,MSE,246796.75513168468
baseline,MAE,341.64944242864425
baseline,MSE,217002.52650374032
baseline,MAE,302.29816772232596
baseline,MSE,175006.22764814852
baseline,MAE,321.92789331141495
baseline,MSE,196040.52304700407
baseline,MAE,395.1456095551101
baseline,MSE,283538.8008686841
baseline,MAE,333.2392335626441
baseline,MSE,195925.39433204528
baseline,MAE,386.2295564872698
baseline,MSE,266141.1824333123
baseline,MAE,334.44497150550006
baseline,MSE,210222.82217114672
baseline,MAE,366.195410630023
baseline,MSE,248216.44075233248
baseline,MAE,364.78781870511216
baseline,MSE,246330.274851947
TRTS,MAE,488.27713633464225
TRTS,MSE,430012.4667484722
TRTS,MAE,441.74226452188293
TRTS,MSE,358726.0719260238
TRTS,MAE,437.9097036738165
TRTS,MSE,353899.1322662515
TRTS,MAE,468.54027612043393
TRTS,MSE,401535.9348863153
TRTS,MAE,451.03240998168843
TRTS,MSE,374792.88820362714
TRTS,MAE,440.60402780393173
TRTS,MSE,359039.0363594008
TRTS,MAE,471.0890742644619
TRTS,MSE,403125.55174011225
TRTS,MAE,426.2828912344361
TRTS,MSE,346461.47490097047
TRTS,MAE,446.93199289298883
TRTS,MSE,365518.99704719486
TRTS,MAE,487.84205254835416
TRTS,MSE,425543.87146457384
TSTR,MAE,343.994243688797
TSTR,MSE,255438.28723907127
TSTR,MAE,386.113307351787
TSTR,MSE,305715.6562931706
TSTR,MAE,334.05691496367433
TSTR,MSE,238423.82153949235
TSTR,MAE,378.34988112717184
TSTR,MSE,291301.9899331666
TSTR,MAE,363.7242879478994
TSTR,MSE,272474.0648814633
TSTR,MAE,424.0159575770616
TSTR,MSE,345112.2726669536
TSTR,MAE,358.1330214593447
TSTR,MSE,266548.56008935545
TSTR,MAE,389.9680944762392
TSTR,MSE,301425.34022320865
TSTR,MAE,393.0194914521154
TSTR,MSE,308401.9222776759
TSTR,MAE,414.2567973659119
TSTR,MSE,331313.30004679854
combined,MAE,305.9429862298583
combined,MSE,173227.7978434311
combined,MAE,337.7125122373653
combined,MSE,202503.96215307098
combined,MAE,307.36796515659626
combined,MSE,182441.4824208762
combined,MAE,375.1343782943189
combined,MSE,253008.6133406896
combined,MAE,293.13448957710716
combined,MSE,163765.6232832408
combined,MAE,306.3949823436017
combined,MSE,177359.88941354625
combined,MAE,368.6438648174618
combined,MSE,233900.29105618483
combined,MAE,301.8965446324709
combined,MSE,173143.35532168281
combined,MAE,337.6443862245558
combined,MSE,208811.9194150736
combined,MAE,305.68555231341736
combined,MSE,164062.87374038916
