Model,Metric,Error
baseline,MAE,324.2093320016284
baseline,MSE,222217.09269889846
baseline,MAE,311.99643135652883
baseline,MSE,202045.46981163576
baseline,MAE,365.95813798368914
baseline,MSE,263799.4246318312
baseline,MAE,350.456620232435
baseline,MSE,252601.22109485633
baseline,MAE,301.8583043769468
baseline,MSE,196523.00263935086
baseline,MAE,328.8249606417958
baseline,MSE,223676.64753890564
baseline,MAE,357.12807959993376
baseline,MSE,249571.21212890366
baseline,MAE,316.679446893977
baseline,MSE,216436.67649099402
baseline,MAE,294.622395496117
baseline,MSE,190639.3460020724
baseline,MAE,317.5396257836838
baseline,MSE,215932.72790165467
TRTS,MAE,564.726788275417
TRTS,MSE,644698.4376108409
TRTS,MAE,575.1959817784882
TRTS,MSE,665469.5297060302
TRTS,MAE,559.7408553257828
TRTS,MSE,600177.2113428178
TRTS,MAE,541.0692136891821
TRTS,MSE,564973.6124438746
TRTS,MAE,565.9193196095911
TRTS,MSE,642317.2286980359
TRTS,MAE,564.7606939113886
TRTS,MSE,652381.9170173646
TRTS,MAE,582.9019335798594
TRTS,MSE,708339.4425618998
TRTS,MAE,575.5257598293373
TRTS,MSE,687627.2844974716
TRTS,MAE,526.0741410709209
TRTS,MSE,571647.6000282741
TRTS,MAE,573.9873033473273
TRTS,MSE,663081.5716045643
TSTR,MAE,494.88973640327356
TSTR,MSE,500282.95571136475
TSTR,MAE,474.4673605113016
TSTR,MSE,452326.5005254123
TSTR,MAE,468.71582469116845
TSTR,MSE,449102.0885411978
TSTR,MAE,496.50840969838293
TSTR,MSE,511789.7686800501
TSTR,MAE,476.68077715812547
TSTR,MSE,463748.9260183486
TSTR,MAE,478.8687175082698
TSTR,MSE,470242.3351428714
TSTR,MAE,467.44429478907824
TSTR,MSE,454462.74908868835
TSTR,MAE,486.2311840005565
TSTR,MSE,487886.6270694412
TSTR,MAE,494.87307723413795
TSTR,MSE,497500.3390666589
TSTR,MAE,487.403210485318
TSTR,MSE,483528.5601846551
combined,MAE,313.3569475833793
combined,MSE,206073.5954670467
combined,MAE,332.5521167425905
combined,MSE,227250.43752505595
combined,MAE,322.23909181193454
combined,MSE,225450.02396115946
combined,MAE,360.56474182638345
combined,MSE,253032.54235872603
combined,MAE,327.2515638277401
combined,MSE,221687.25611247856
combined,MAE,365.70672667701734
combined,MSE,267179.8978045486
combined,MAE,365.0155712582637
combined,MSE,270569.34414038574
combined,MAE,353.1254972040188
combined,MSE,257140.94514029744
combined,MAE,369.9514565675055
combined,MSE,283224.51686185977
combined,MAE,311.5224715287332
combined,MSE,211848.82402796714
