Model,Metric,Error
baseline,MAE,361.544543216346
baseline,MSE,238453.93769978327
baseline,MAE,298.66165005489137
baseline,MSE,165074.47760346436
baseline,MAE,359.4025305330124
baseline,MSE,227232.83696823925
baseline,MAE,342.8778611610473
baseline,MSE,219740.47655818198
baseline,MAE,312.9625457610253
baseline,MSE,185528.50413287562
baseline,MAE,371.4487619906874
baseline,MSE,248570.17926296638
baseline,MAE,320.7026185259013
baseline,MSE,185644.02287818104
baseline,MAE,333.98031224682927
baseline,MSE,204303.35377686544
baseline,MAE,335.64515094238686
baseline,MSE,211073.09651218826
baseline,MAE,350.0423671044672
baseline,MSE,226547.7630452113
TRTS,MAE,441.095623457228
TRTS,MSE,423924.22441869794
TRTS,MAE,428.77684833744314
TRTS,MSE,418752.6131330129
TRTS,MAE,503.3142155304531
TRTS,MSE,499413.53488056053
TRTS,MAE,485.07016355774533
TRTS,MSE,469493.68894674623
TRTS,MAE,484.98743528496885
TRTS,MSE,465971.6687547974
TRTS,MAE,502.04912364497073
TRTS,MSE,586057.0898942181
TRTS,MAE,435.6777945458191
TRTS,MSE,429098.67329811817
TRTS,MAE,514.5815666480338
TRTS,MSE,548333.486753476
TRTS,MAE,457.2407906576241
TRTS,MSE,461692.843238265
TRTS,MAE,444.3975348340164
TRTS,MSE,424132.68881758384
TSTR,MAE,423.1853776739011
TSTR,MSE,397873.32938620896
TSTR,MAE,428.1685883132903
TSTR,MSE,396356.2001635641
TSTR,MAE,427.50914472209985
TSTR,MSE,393444.70574359305
TSTR,MAE,411.58099785377806
TSTR,MSE,362629.00032272487
TSTR,MAE,427.12397048268315
TSTR,MSE,401790.6914129966
TSTR,MAE,425.8532547209168
TSTR,MSE,399290.260049884
TSTR,MAE,426.1276635918129
TSTR,MSE,385147.0681165099
TSTR,MAE,419.234247845815
TSTR,MSE,386405.99639560055
TSTR,MAE,421.1192053047142
TSTR,MSE,391156.0009987968
TSTR,MAE,422.91782721734046
TSTR,MSE,399605.8066022966
combined,MAE,389.46651766879455
combined,MSE,272854.97029317374
combined,MAE,390.119296367372
combined,MSE,285752.2450766283
combined,MAE,363.42802895941367
combined,MSE,239078.24619717707
combined,MAE,298.21083618228283
combined,MSE,166750.70184308107
combined,MAE,305.1222729530763
combined,MSE,183292.67029535075
combined,MAE,356.27161220335205
combined,MSE,237861.8584903613
combined,MAE,386.3149393131615
combined,MSE,274085.00709634915
combined,MAE,295.7436842412596
combined,MSE,169321.85399476916
combined,MAE,383.34608359991665
combined,MSE,269310.16158608504
combined,MAE,338.68669355377347
combined,MSE,219146.58258260455
