Model,Metric,Error
baseline,MAE,347.0392847689801
baseline,MSE,259042.76966690645
baseline,MAE,312.4940178531688
baseline,MSE,203432.14621693318
baseline,MAE,293.80096561479155
baseline,MSE,195498.6657222561
baseline,MAE,334.4703368894989
baseline,MSE,232445.28059935258
baseline,MAE,350.26708691963006
baseline,MSE,259593.72438483822
baseline,MAE,351.1252913135105
baseline,MSE,254307.9474267614
baseline,MAE,266.1237701924984
baseline,MSE,164218.70651051213
baseline,MAE,301.0749165725429
baseline,MSE,191939.78523567613
baseline,MAE,280.9479093935807
baseline,MSE,174078.80942281696
baseline,MAE,312.1811100596097
baseline,MSE,212664.11032768278
TRTS,MAE,175.78330772991484
TRTS,MSE,59017.676266208815
TRTS,MAE,170.7407146905181
TRTS,MSE,57740.93509219656
TRTS,MAE,194.2565332386495
TRTS,MSE,70535.13646808261
TRTS,MAE,187.23984500653253
TRTS,MSE,62358.467467942915
TRTS,MAE,229.14534055233636
TRTS,MSE,90565.21472008443
TRTS,MAE,210.77877790219375
TRTS,MSE,77094.90488991332
TRTS,MAE,215.69157409206213
TRTS,MSE,85371.27831650352
TRTS,MAE,238.72990917281763
TRTS,MSE,100121.75671875507
TRTS,MAE,188.38681414648508
TRTS,MSE,69846.98943246141
TRTS,MAE,206.5301453887706
TRTS,MSE,83131.46977525453
TSTR,MAE,1256.7934716965497
TSTR,MSE,3284925.416808065
TSTR,MAE,842.5158338510532
TSTR,MSE,1621112.2947885452
TSTR,MAE,929.0425812118342
TSTR,MSE,2037967.7405105568
TSTR,MAE,966.2414883165279
TSTR,MSE,2024110.4339383384
TSTR,MAE,1353.673667791133
TSTR,MSE,3360225.178332291
TSTR,MAE,1564.3066720255474
TSTR,MSE,5085249.292918767
TSTR,MAE,774.0870659734975
TSTR,MSE,1457729.1082134892
TSTR,MAE,930.3344391578562
TSTR,MSE,1916236.7419397165
TSTR,MAE,1393.2566731270538
TSTR,MSE,3699954.8143269867
TSTR,MAE,998.6532456902672
TSTR,MSE,2384078.7352685276
combined,MAE,291.29491154922175
combined,MSE,181567.60990197846
combined,MAE,332.3665176815902
combined,MSE,230417.50817008398
combined,MAE,378.48655448095906
combined,MSE,279141.3875961008
combined,MAE,343.8941667349094
combined,MSE,251901.65473514845
combined,MAE,364.03165470690226
combined,MSE,261977.73489966194
combined,MAE,387.72395589223885
combined,MSE,292632.39355979953
combined,MAE,367.18435027646655
combined,MSE,279818.0682223474
combined,MAE,277.46192823532687
combined,MSE,168141.94489041163
combined,MAE,397.5877996430827
combined,MSE,315463.7631042271
combined,MAE,288.93421912467625
combined,MSE,180065.12360171942
