Model,Metric,Error
baseline,MAE,382.91442988687
baseline,MSE,256212.26781226683
baseline,MAE,342.0871508979881
baseline,MSE,206476.40081356032
baseline,MAE,380.6443904153478
baseline,MSE,265187.13130293466
baseline,MAE,359.6955078333931
baseline,MSE,229654.32337408065
baseline,MAE,347.809839149596
baseline,MSE,230276.8903904362
baseline,MAE,332.11745802974195
baseline,MSE,197697.8995863596
baseline,MAE,324.6511941407348
baseline,MSE,200735.5465277681
baseline,MAE,345.1142309879438
baseline,MSE,215079.57872991462
baseline,MAE,328.0016110846904
baseline,MSE,212026.29662804477
baseline,MAE,362.17773619399105
baseline,MSE,235759.2796255769
TRTS,MAE,252.1259173690142
TRTS,MSE,124725.9805522215
TRTS,MAE,295.97868899429295
TRTS,MSE,156539.8152428333
TRTS,MAE,255.1786004165508
TRTS,MSE,116000.61680038138
TRTS,MAE,305.14201559327955
TRTS,MSE,164539.54619605816
TRTS,MAE,302.7776739012793
TRTS,MSE,158794.31760435321
TRTS,MAE,268.34447866210155
TRTS,MSE,124010.5557775138
TRTS,MAE,277.41145299513613
TRTS,MSE,130492.06155249348
TRTS,MAE,296.85839560964405
TRTS,MSE,150577.9603330491
TRTS,MAE,272.50848431475276
TRTS,MSE,122449.10257794529
TRTS,MAE,266.23782830892713
TRTS,MSE,120923.52782518568
TSTR,MAE,644.1198264188205
TSTR,MSE,1086784.2967989794
TSTR,MAE,477.722356500536
TSTR,MSE,460244.12950995605
TSTR,MAE,824.7403535303655
TSTR,MSE,1800592.7256538824
TSTR,MAE,662.297070766204
TSTR,MSE,1016518.6484935734
TSTR,MAE,973.0582417100877
TSTR,MSE,2542097.2501191576
TSTR,MAE,919.5907320168055
TSTR,MSE,1777806.3855971708
TSTR,MAE,764.0442209651503
TSTR,MSE,1487826.3764914465
TSTR,MAE,492.8181274758909
TSTR,MSE,595156.325584899
TSTR,MAE,955.0342436764108
TSTR,MSE,2309013.2134491163
TSTR,MAE,576.8054297603254
TSTR,MSE,891871.4615036788
combined,MAE,355.2640260404179
combined,MSE,248514.73937374094
combined,MAE,345.2813079165638
combined,MSE,240316.82165652968
combined,MAE,304.57982293425135
combined,MSE,202523.2500622754
combined,MAE,357.6203668561067
combined,MSE,260944.92266842554
combined,MAE,324.57723177034717
combined,MSE,209595.51802057718
combined,MAE,341.45202027503706
combined,MSE,245020.88183550007
combined,MAE,322.5161748102786
combined,MSE,213402.6733732162
combined,MAE,358.28685695801755
combined,MSE,255764.36451938603
combined,MAE,344.7877134690162
combined,MSE,243609.96354144078
combined,MAE,343.96290390778194
combined,MSE,243970.19003490906
