Model,Metric,Error
baseline,MAE,347.7261613002965
baseline,MSE,222804.71745151424
baseline,MAE,300.37831750732494
baseline,MSE,171456.37509144333
baseline,MAE,313.6150234502176
baseline,MSE,185309.82671419304
baseline,MAE,290.4262397447732
baseline,MSE,157304.363359003
baseline,MAE,373.707472999331
baseline,MSE,249024.1501184648
baseline,MAE,369.1684321454713
baseline,MSE,249796.15778647654
baseline,MAE,368.6156324849162
baseline,MSE,247381.21533161518
baseline,MAE,322.523275866265
baseline,MSE,191277.03775095212
baseline,MAE,340.3920573047559
baseline,MSE,216945.13137707292
baseline,MAE,367.4722685969212
baseline,MSE,243866.38760498035
TRTS,MAE,246.22702494457374
TRTS,MSE,98375.4521534936
TRTS,MAE,223.1636195356787
TRTS,MSE,83204.86032399567
TRTS,MAE,241.36010801520405
TRTS,MSE,96396.4063660005
TRTS,MAE,255.4300894278533
TRTS,MSE,104110.64678744093
TRTS,MAE,266.16542369538286
TRTS,MSE,109492.83544019966
TRTS,MAE,248.0128747690011
TRTS,MSE,101143.08369044795
TRTS,MAE,237.04774619198588
TRTS,MSE,95177.62245803913
TRTS,MAE,205.0984465998407
TRTS,MSE,71211.4223125017
TRTS,MAE,265.56680489438816
TRTS,MSE,112269.3010422815
TRTS,MAE,255.373966282892
TRTS,MSE,112543.69101189943
TSTR,MAE,661.3767741630605
TSTR,MSE,1119848.0503371872
TSTR,MAE,645.6614705961517
TSTR,MSE,1103589.3697178015
TSTR,MAE,749.4390654945444
TSTR,MSE,1798625.4520975193
TSTR,MAE,644.0140280062931
TSTR,MSE,1372049.4454217353
TSTR,MAE,748.6227061516141
TSTR,MSE,1733176.353781516
TSTR,MAE,764.658513799282
TSTR,MSE,1500494.691088424
TSTR,MAE,736.0089354512262
TSTR,MSE,1157296.852003971
TSTR,MAE,648.155212854614
TSTR,MSE,1254991.7260203885
TSTR,MAE,751.7952857099814
TSTR,MSE,1332503.8459149553
TSTR,MAE,786.5189502809924
TSTR,MSE,1481445.4605759108
combined,MAE,350.009464726874
combined,MSE,227719.28363496414
combined,MAE,349.9094129922855
combined,MSE,216535.39482933242
combined,MAE,337.53211613336686
combined,MSE,197711.8415498407
combined,MAE,297.201306575649
combined,MSE,172379.42866831503
combined,MAE,306.7963892337152
combined,MSE,182748.1693140157
combined,MAE,297.31570770670766
combined,MSE,170879.72754787587
combined,MAE,275.36617902167734
combined,MSE,153018.95834880866
combined,MAE,295.21768646120347
combined,MSE,162206.0138239
combined,MAE,321.8407526664268
combined,MSE,198482.73109515157
combined,MAE,303.19610580694246
combined,MSE,175197.48796696
