Model,Metric,Error
baseline,MAE,333.4277111694846
baseline,MSE,199559.01545327477
baseline,MAE,384.3114791064405
baseline,MSE,262947.1665847018
baseline,MAE,379.67999020743537
baseline,MSE,265053.24934427335
baseline,MAE,390.117286265631
baseline,MSE,270195.7201310166
baseline,MAE,365.9580929839695
baseline,MSE,237388.13058000727
baseline,MAE,344.2696779176173
baseline,MSE,221906.53116966604
baseline,MAE,369.50050460284865
baseline,MSE,251334.51269376822
baseline,MAE,329.53812770272646
baseline,MSE,187516.09493403885
baseline,MAE,338.9192295800632
baseline,MSE,200824.3326355229
baseline,MAE,367.42236867693947
baseline,MSE,243793.80870687374
TRTS,MAE,213.63518201869744
TRTS,MSE,80333.94512472746
TRTS,MAE,260.82185898347905
TRTS,MSE,112342.84873769627
TRTS,MAE,231.43745117232424
TRTS,MSE,92683.11283572164
TRTS,MAE,187.38776902777477
TRTS,MSE,62865.88149634077
TRTS,MAE,212.93351346090205
TRTS,MSE,83287.15967966289
TRTS,MAE,253.14163862281882
TRTS,MSE,109925.10613691753
TRTS,MAE,201.06860158945358
TRTS,MSE,72087.66266853518
TRTS,MAE,224.6127935331668
TRTS,MSE,91051.76425002754
TRTS,MAE,255.21355031677328
TRTS,MSE,108099.7716512812
TRTS,MAE,216.304867530578
TRTS,MSE,83399.56212783288
TSTR,MAE,869.0323502919181
TSTR,MSE,2187361.386568851
TSTR,MAE,1017.5119825918231
TSTR,MSE,3073734.4952164385
TSTR,MAE,677.66617565834
TSTR,MSE,1370550.7186143736
TSTR,MAE,574.3738926945476
TSTR,MSE,932722.1888313404
TSTR,MAE,541.993604775886
TSTR,MSE,631779.1409928479
TSTR,MAE,852.2918326404745
TSTR,MSE,1631141.8627552206
TSTR,MAE,544.8869086879255
TSTR,MSE,874934.6333840723
TSTR,MAE,893.4899124371228
TSTR,MSE,2020070.1318110519
TSTR,MAE,675.5359201297646
TSTR,MSE,1365395.957654459
TSTR,MAE,845.6176617399701
TSTR,MSE,2029915.8258108657
combined,MAE,342.61218349512785
combined,MSE,202096.77920694495
combined,MAE,336.03961287373386
combined,MSE,210541.42722253967
combined,MAE,288.7936808350604
combined,MSE,156427.7221743884
combined,MAE,316.6190351260206
combined,MSE,188510.23938064385
combined,MAE,285.7591419195774
combined,MSE,157160.7403110656
combined,MAE,305.5653301831896
combined,MSE,177707.4059828802
combined,MAE,328.6353565937291
combined,MSE,204092.60084556756
combined,MAE,303.05145339015473
combined,MSE,177072.2499651084
combined,MAE,294.9083947162027
combined,MSE,169898.5772249824
combined,MAE,324.034381980104
combined,MSE,198612.300270379
