Model,Metric,Error
baseline,MAE,319.85817616579817
baseline,MSE,188226.5131431023
baseline,MAE,351.4763127966246
baseline,MSE,226924.29456012492
baseline,MAE,326.02394457906485
baseline,MSE,190620.14838813263
baseline,MAE,336.44947449967896
baseline,MSE,213857.27561202666
baseline,MAE,337.02564644582674
baseline,MSE,202206.68013428123
baseline,MAE,384.6290522535712
baseline,MSE,265433.5970797233
baseline,MAE,317.2746591951541
baseline,MSE,192487.4872676899
baseline,MAE,343.76499910715603
baseline,MSE,215863.2859068612
baseline,MAE,312.408503836939
baseline,MSE,188120.96171376514
baseline,MAE,345.70819215759843
baseline,MSE,225388.20437281945
TRTS,MAE,243.34781906722625
TRTS,MSE,87649.20324365236
TRTS,MAE,182.88318611952414
TRTS,MSE,64391.201327181836
TRTS,MAE,231.1677407097786
TRTS,MSE,80142.24657151493
TRTS,MAE,229.95383799347033
TRTS,MSE,90046.94721392595
TRTS,MAE,244.46686130636178
TRTS,MSE,92911.38779716424
TRTS,MAE,210.23241533204725
TRTS,MSE,70329.27396399884
TRTS,MAE,191.27354283121403
TRTS,MSE,66206.1325872418
TRTS,MAE,200.97670587025797
TRTS,MSE,70737.42745235302
TRTS,MAE,196.50965630436133
TRTS,MSE,68669.76120599794
TRTS,MAE,204.9666635522348
TRTS,MSE,71295.42012940685
TSTR,MAE,454.642278320151
TSTR,MSE,465263.5346757407
TSTR,MAE,515.5742184292786
TSTR,MSE,655634.8329016662
TSTR,MAE,596.716023231427
TSTR,MSE,826659.4516265674
TSTR,MAE,632.2526351245659
TSTR,MSE,923232.8416176212
TSTR,MAE,482.7872401561819
TSTR,MSE,1076083.454745736
TSTR,MAE,683.5373200914676
TSTR,MSE,1141172.5393347458
TSTR,MAE,593.2308621896129
TSTR,MSE,893609.6505391987
TSTR,MAE,550.6839438639398
TSTR,MSE,826991.5735395283
TSTR,MAE,585.0308895344756
TSTR,MSE,799480.7153621996
TSTR,MAE,731.067859778386
TSTR,MSE,1104009.626753486
combined,MAE,335.99069053893186
combined,MSE,217808.0071584705
combined,MAE,313.7959066917252
combined,MSE,189784.86024576044
combined,MAE,335.9634413003609
combined,MSE,216704.98753321514
combined,MAE,337.7689740750288
combined,MSE,221535.93104640068
combined,MAE,327.99712499796675
combined,MSE,207870.73909232742
combined,MAE,302.75659228985404
combined,MSE,182098.9663446801
combined,MAE,301.55213302106324
combined,MSE,176171.92321010126
combined,MAE,331.3111047007494
combined,MSE,209118.61793448759
combined,MAE,342.92824440323506
combined,MSE,227936.38632461286
combined,MAE,287.8584275882061
combined,MSE,160785.73994900304
