Model,Metric,Error
baseline,MAE,307.16991036343325
baseline,MSE,179732.91541683837
baseline,MAE,317.7090979385334
baseline,MSE,175612.08632414677
baseline,MAE,332.991568600208
baseline,MSE,199067.75938431956
baseline,MAE,358.2825284167914
baseline,MSE,235753.673040444
baseline,MAE,320.2438868884469
baseline,MSE,192649.52313841207
baseline,MAE,334.28965729957736
baseline,MSE,213283.24888339042
baseline,MAE,330.65775486428134
baseline,MSE,199698.99034278464
baseline,MAE,350.523197535268
baseline,MSE,220711.1311541609
baseline,MAE,367.78250204824224
baseline,MSE,242105.6052447304
baseline,MAE,350.73680253830594
baseline,MSE,234966.86293383985
TRTS,MAE,214.96612274206427
TRTS,MSE,80894.55276775533
TRTS,MAE,223.9022787953305
TRTS,MSE,87879.91017675349
TRTS,MAE,220.00503359845487
TRTS,MSE,91688.69193348383
TRTS,MAE,229.7896833598708
TRTS,MSE,87861.65074797152
TRTS,MAE,267.8065497863538
TRTS,MSE,120299.21167137362
TRTS,MAE,267.84891743066333
TRTS,MSE,112594.28439916037
TRTS,MAE,248.16158683864546
TRTS,MSE,101196.7152990414
TRTS,MAE,261.5782713685617
TRTS,MSE,110483.71970769104
TRTS,MAE,265.9092650479537
TRTS,MSE,110159.67539672322
TRTS,MAE,266.35029829213903
TRTS,MSE,107929.15459749494
TSTR,MAE,679.576012129379
TSTR,MSE,1414137.645147311
TSTR,MAE,753.6047193298592
TSTR,MSE,1947498.9901057163
TSTR,MAE,726.0962257708435
TSTR,MSE,1242932.3032720694
TSTR,MAE,771.9868772595992
TSTR,MSE,3948720.0307466513
TSTR,MAE,861.3308344807574
TSTR,MSE,2031771.2448816642
TSTR,MAE,942.2734243219322
TSTR,MSE,1990568.1814813982
TSTR,MAE,703.0180090753702
TSTR,MSE,1282943.103973948
TSTR,MAE,828.9399913007167
TSTR,MSE,1736758.5841582166
TSTR,MAE,720.7646962080436
TSTR,MSE,1162690.872811103
TSTR,MAE,679.2174315426109
TSTR,MSE,1222023.0997949995
combined,MAE,334.2497225324264
combined,MSE,213791.7902557664
combined,MAE,307.13099385115993
combined,MSE,172301.78303534098
combined,MAE,298.9017679729068
combined,MSE,162251.98905102274
combined,MAE,324.52240429455003
combined,MSE,193563.29609949395
combined,MAE,361.6845586978033
combined,MSE,241452.7272003128
combined,MAE,295.7064181705213
combined,MSE,165206.01406794196
combined,MAE,313.6615354729871
combined,MSE,189384.62446906255
combined,MAE,350.1500391356392
combined,MSE,225879.7725460106
combined,MAE,377.92186726809047
combined,MSE,253832.18901227927
combined,MAE,310.1071006596939
combined,MSE,177025.34709751303
