Model,Metric,Error
baseline,MAE,338.313224105453
baseline,MSE,214647.11435268572
baseline,MAE,336.6203603919228
baseline,MSE,212289.39729074045
baseline,MAE,324.7394721819691
baseline,MSE,192988.6761499054
baseline,MAE,307.7297830832466
baseline,MSE,180124.42396917922
baseline,MAE,374.7259018302593
baseline,MSE,257791.85054132942
baseline,MAE,352.2113642600221
baseline,MSE,221515.8753881931
baseline,MAE,371.09200452918736
baseline,MSE,257554.7247429261
baseline,MAE,349.8455687197791
baseline,MSE,226880.46630128686
baseline,MAE,319.1244200626257
baseline,MSE,182034.14166797666
baseline,MAE,332.2589369193769
baseline,MSE,208576.1127611637
TRTS,MAE,250.66646731721704
TRTS,MSE,120249.10723221554
TRTS,MAE,332.5522615886879
TRTS,MSE,183558.3187395903
TRTS,MAE,207.24808088136862
TRTS,MSE,87577.78185713492
TRTS,MAE,236.49159254466306
TRTS,MSE,101597.72550412612
TRTS,MAE,278.94455221823915
TRTS,MSE,152107.61111460603
TRTS,MAE,213.7316386994087
TRTS,MSE,93921.77684525562
TRTS,MAE,218.87962449282455
TRTS,MSE,93354.99431969342
TRTS,MAE,309.6061494247824
TRTS,MSE,197043.75436867788
TRTS,MAE,243.94685352016933
TRTS,MSE,107663.93815729822
TRTS,MAE,276.97900818956026
TRTS,MSE,132158.4068761927
TSTR,MAE,571.6087830597969
TSTR,MSE,774598.2379750466
TSTR,MAE,597.189484609676
TSTR,MSE,853537.9653831999
TSTR,MAE,542.4873164782781
TSTR,MSE,671153.7560371942
TSTR,MAE,510.8926249708185
TSTR,MSE,533073.6887692736
TSTR,MAE,546.1033961510363
TSTR,MSE,636654.1054387367
TSTR,MAE,554.0629163169673
TSTR,MSE,688508.8760790227
TSTR,MAE,525.552438586342
TSTR,MSE,547757.7577379628
TSTR,MAE,606.9359565965842
TSTR,MSE,832402.5029017753
TSTR,MAE,554.1455491226152
TSTR,MSE,628393.9292620437
TSTR,MAE,620.0671203997705
TSTR,MSE,799690.8379448672
combined,MAE,361.57386595039736
combined,MSE,239461.88149618407
combined,MAE,344.04576836458943
combined,MSE,221095.99706364656
combined,MAE,347.1849625502777
combined,MSE,228086.981499455
combined,MAE,341.96355378852235
combined,MSE,218579.93859932313
combined,MAE,343.06532116938973
combined,MSE,218547.95487886487
combined,MAE,358.2027762471792
combined,MSE,230812.09723543192
combined,MAE,336.0831107165705
combined,MSE,209321.3892464072
combined,MAE,335.24567922425075
combined,MSE,211686.00551355074
combined,MAE,362.79083900783695
combined,MSE,245360.4756231623
combined,MAE,373.2852476183545
combined,MSE,255451.80117798984
