Model,Metric,Error
baseline,MAE,354.00202431832446
baseline,MSE,261993.61146277213
baseline,MAE,325.1048032578547
baseline,MSE,216549.17800947544
baseline,MAE,287.67694432637654
baseline,MSE,178112.76127112107
baseline,MAE,304.16344832745386
baseline,MSE,198157.8740722811
baseline,MAE,330.3221761260648
baseline,MSE,233780.70437729705
baseline,MAE,297.7361460507382
baseline,MSE,193731.14729893644
baseline,MAE,293.6756368039642
baseline,MSE,191956.6990502404
baseline,MAE,369.92673108121386
baseline,MSE,284564.1168579138
baseline,MAE,275.9095209755469
baseline,MSE,177899.81359804704
baseline,MAE,334.9322669988033
baseline,MSE,233599.79622979028
TRTS,MAE,481.22200172617045
TRTS,MSE,362841.63059015264
TRTS,MAE,453.0881640245086
TRTS,MSE,293792.6221837414
TRTS,MAE,453.15318447684825
TRTS,MSE,310447.01899220195
TRTS,MAE,409.0652725847929
TRTS,MSE,262549.14556520036
TRTS,MAE,395.56572095567486
TRTS,MSE,231306.85681650584
TRTS,MAE,478.58838568371493
TRTS,MSE,334084.52232783125
TRTS,MAE,491.3053007951752
TRTS,MSE,362945.01649177837
TRTS,MAE,549.2622180034646
TRTS,MSE,447165.09807631053
TRTS,MAE,414.52959367056417
TRTS,MSE,240259.51501571643
TRTS,MAE,454.3868734855536
TRTS,MSE,283353.66696839296
TSTR,MAE,697.5367719074859
TSTR,MSE,855527.1555577414
TSTR,MAE,670.3574028303142
TSTR,MSE,799247.5590920972
TSTR,MAE,731.7027691822639
TSTR,MSE,1152905.305079342
TSTR,MAE,709.6717586178485
TSTR,MSE,927438.8118492325
TSTR,MAE,718.8604200626588
TSTR,MSE,1061900.7199925533
TSTR,MAE,698.6806721267103
TSTR,MSE,898067.4794045041
TSTR,MAE,704.6789769500616
TSTR,MSE,999238.1414751943
TSTR,MAE,800.9727141723182
TSTR,MSE,1421882.5320551633
TSTR,MAE,748.1317431111642
TSTR,MSE,1053669.515123916
TSTR,MAE,745.0072348767263
TSTR,MSE,1052886.977733055
combined,MAE,378.26108053961457
combined,MSE,303251.9826584151
combined,MAE,386.058012173722
combined,MSE,274826.61517578864
combined,MAE,362.6081831653817
combined,MSE,268694.4562980846
combined,MAE,372.4062890013808
combined,MSE,268933.37650098756
combined,MAE,393.6491448356916
combined,MSE,305056.68264334695
combined,MAE,356.11107898407016
combined,MSE,261144.6480746726
combined,MAE,359.86646346186996
combined,MSE,272176.53196339356
combined,MAE,359.7680017552065
combined,MSE,262287.9946311118
combined,MAE,402.0284339919308
combined,MSE,290166.6258148225
combined,MAE,374.50333797990464
combined,MSE,282464.47171511647
