Model,Metric,Error
baseline,MAE,282.4777856449216
baseline,MSE,153357.56564889557
baseline,MAE,329.65511604136145
baseline,MSE,197385.8075210041
baseline,MAE,322.84375710124283
baseline,MSE,195885.82362229118
baseline,MAE,321.05479920864707
baseline,MSE,186641.90375431752
baseline,MAE,295.9194081182211
baseline,MSE,162389.54804838038
baseline,MAE,363.4866128256413
baseline,MSE,243265.3506049084
baseline,MAE,353.16153013265466
baseline,MSE,236501.23499580848
baseline,MAE,361.46239867523104
baseline,MSE,241140.35906458265
baseline,MAE,355.2707802006896
baseline,MSE,241250.1917407377
baseline,MAE,378.0027530172866
baseline,MSE,254267.54655366423
TRTS,MAE,183.1698909232253
TRTS,MSE,55131.99386817244
TRTS,MAE,189.96220927085997
TRTS,MSE,58950.48029815937
TRTS,MAE,253.20221834759099
TRTS,MSE,104373.047402575
TRTS,MAE,223.1963555589161
TRTS,MSE,74429.79436964645
TRTS,MAE,368.491543985364
TRTS,MSE,183995.21869716136
TRTS,MAE,198.20442390102613
TRTS,MSE,62876.37990027844
TRTS,MAE,242.43003622692234
TRTS,MSE,98977.36146710573
TRTS,MAE,242.19763103477231
TRTS,MSE,102489.71375581145
TRTS,MAE,215.26080705188818
TRTS,MSE,69616.08719351591
TRTS,MAE,252.22611488629124
TRTS,MSE,95041.7039766797
TSTR,MAE,603.1425352340729
TSTR,MSE,717835.6008187362
TSTR,MAE,720.4291270487591
TSTR,MSE,950066.0766569572
TSTR,MAE,666.4580791733507
TSTR,MSE,986397.3483800972
TSTR,MAE,714.840102510177
TSTR,MSE,934716.0987380263
TSTR,MAE,702.3762537321868
TSTR,MSE,921481.1870846064
TSTR,MAE,655.0863877627892
TSTR,MSE,788359.7651546358
TSTR,MAE,595.7230418661351
TSTR,MSE,708434.966661456
TSTR,MAE,630.6954589561245
TSTR,MSE,753814.8252392644
TSTR,MAE,646.3428187866718
TSTR,MSE,778493.706886711
TSTR,MAE,763.5371899225368
TSTR,MSE,1199235.8621601819
combined,MAE,333.56222252810994
combined,MSE,210713.6600717919
combined,MAE,369.12359174373677
combined,MSE,245244.50205420307
combined,MAE,332.0024034139959
combined,MSE,204386.98125416655
combined,MAE,350.0027584695731
combined,MSE,229102.3935164406
combined,MAE,377.06974651630384
combined,MSE,248786.43099280653
combined,MAE,421.82814446845106
combined,MSE,335050.81227439473
combined,MAE,395.55513519864303
combined,MSE,276434.1973787495
combined,MAE,411.885792642211
combined,MSE,315808.6571012082
combined,MAE,342.5473661523127
combined,MSE,211502.37230719134
combined,MAE,351.2168002732314
combined,MSE,236797.91384567536
