Model,Metric,Error
baseline,MAE,344.17144167633126
baseline,MSE,225615.73802181473
baseline,MAE,315.71132759844335
baseline,MSE,179135.74691534732
baseline,MAE,388.99897536540954
baseline,MSE,266388.570652426
baseline,MAE,310.2374134073165
baseline,MSE,180461.11694906736
baseline,MAE,337.85000669620405
baseline,MSE,219588.9014585976
baseline,MAE,321.7320355482295
baseline,MSE,195853.14293022835
baseline,MAE,335.08860038871495
baseline,MSE,206726.07207328794
baseline,MAE,344.53105686009457
baseline,MSE,217036.12697484813
baseline,MAE,375.17380846491164
baseline,MSE,252219.22449138324
baseline,MAE,324.9145591182398
baseline,MSE,198089.8697376347
TRTS,MAE,471.49653431721873
TRTS,MSE,359842.4845498291
TRTS,MAE,352.5336218687875
TRTS,MSE,221510.84074109918
TRTS,MAE,375.37287171718026
TRTS,MSE,295581.50889881875
TRTS,MAE,490.5725082907975
TRTS,MSE,366933.2862793796
TRTS,MAE,332.9364282825801
TRTS,MSE,232013.44900242102
TRTS,MAE,409.54205184745604
TRTS,MSE,288547.60356390476
TRTS,MAE,394.9207759433893
TRTS,MSE,269846.00589262333
TRTS,MAE,374.65738515073116
TRTS,MSE,251108.8530720753
TRTS,MAE,381.44116321648
TRTS,MSE,269519.4134589155
TRTS,MAE,383.3229775692239
TRTS,MSE,268559.5968238484
TSTR,MAE,527.4807956878192
TSTR,MSE,579591.960961155
TSTR,MAE,594.627972916946
TSTR,MSE,712275.9355249129
TSTR,MAE,592.0778207640207
TSTR,MSE,704187.9610245503
TSTR,MAE,530.720127491258
TSTR,MSE,562150.41804844
TSTR,MAE,684.7692937916673
TSTR,MSE,1110527.071096736
TSTR,MAE,596.6362894555807
TSTR,MSE,745750.206967799
TSTR,MAE,540.1953242063787
TSTR,MSE,583180.2208989173
TSTR,MAE,587.9011538482694
TSTR,MSE,671735.5613541807
TSTR,MAE,623.7132680744336
TSTR,MSE,934230.2362348164
TSTR,MAE,571.7411848948792
TSTR,MSE,634299.0541655223
combined,MAE,359.8577587483844
combined,MSE,264548.9170387205
combined,MAE,364.8082722362498
combined,MSE,270797.7285371878
combined,MAE,360.0032168844006
combined,MSE,267410.74753619183
combined,MAE,354.61353061295733
combined,MSE,260524.039123643
combined,MAE,368.65199206758973
combined,MSE,285047.3138334362
combined,MAE,406.47604425692225
combined,MSE,320483.31365753984
combined,MAE,389.45266142991227
combined,MSE,305555.78787517146
combined,MAE,379.8482660895712
combined,MSE,286712.7901822577
combined,MAE,385.24812529697806
combined,MSE,299383.0235990906
combined,MAE,386.0101969781476
combined,MSE,290551.4019208449
