Model,Metric,Error
baseline,MAE,304.18788075563504
baseline,MSE,196206.495038183
baseline,MAE,269.5582838042174
baseline,MSE,167683.01046246602
baseline,MAE,275.42480437201453
baseline,MSE,173803.322089684
baseline,MAE,285.7810130191502
baseline,MSE,182297.7547275313
baseline,MAE,296.77707561408175
baseline,MSE,187325.39981191215
baseline,MAE,292.65114470734267
baseline,MSE,188009.51507478123
baseline,MAE,343.9927962434013
baseline,MSE,254011.21649271273
baseline,MAE,314.5634906820488
baseline,MSE,214794.64551876814
baseline,MAE,270.53740451228805
baseline,MSE,171468.77989906055
baseline,MAE,309.0267366182525
baseline,MSE,204947.44296187308
TRTS,MAE,428.7751491166681
TRTS,MSE,460908.24650151486
TRTS,MAE,586.0573663307051
TRTS,MSE,658201.2827129897
TRTS,MAE,628.1379476833248
TRTS,MSE,695093.7168909813
TRTS,MAE,594.4924829592142
TRTS,MSE,640598.6899351423
TRTS,MAE,568.0834282375765
TRTS,MSE,690088.1180173724
TRTS,MAE,571.1352891908045
TRTS,MSE,615782.5451738285
TRTS,MAE,530.1975931224639
TRTS,MSE,572655.8358861598
TRTS,MAE,605.8832384442021
TRTS,MSE,747985.9552357226
TRTS,MAE,630.5966428334791
TRTS,MSE,726145.9210658177
TRTS,MAE,598.8168982670164
TRTS,MSE,701942.5550200286
TSTR,MAE,854.7389177610409
TSTR,MSE,1485154.3638234558
TSTR,MAE,902.6369470332854
TSTR,MSE,1713218.7322007506
TSTR,MAE,851.6468018443469
TSTR,MSE,1452895.3116633384
TSTR,MAE,957.1933215121485
TSTR,MSE,1926351.656168887
TSTR,MAE,897.1268496881739
TSTR,MSE,1536096.1717972173
TSTR,MAE,997.3009646603996
TSTR,MSE,2045624.3272126291
TSTR,MAE,807.4793808222082
TSTR,MSE,1480834.2002781867
TSTR,MAE,953.8306888697705
TSTR,MSE,2041853.5919267864
TSTR,MAE,806.3628547589674
TSTR,MSE,1306154.8368330125
TSTR,MAE,869.0848427663153
TSTR,MSE,1481411.45929938
combined,MAE,349.105537646683
combined,MSE,241178.71332804087
combined,MAE,401.62741024629224
combined,MSE,306713.2605580734
combined,MAE,353.6655372881797
combined,MSE,246649.23099196638
combined,MAE,387.7426217508038
combined,MSE,279667.8962495724
combined,MAE,335.2408773323987
combined,MSE,224855.9220504666
combined,MAE,391.65507004945545
combined,MSE,288914.97723873414
combined,MAE,338.99655000423087
combined,MSE,224449.024039516
combined,MAE,410.3857930062805
combined,MSE,316158.9516897641
combined,MAE,369.95872230851097
combined,MSE,264333.8209832829
combined,MAE,353.2166922267062
combined,MSE,257609.34771180575
