Model,Metric,Error
baseline,MAE,273.0664191197138
baseline,MSE,171774.54670047163
baseline,MAE,274.8633161606267
baseline,MSE,170574.4956679063
baseline,MAE,285.7293393381406
baseline,MSE,178247.09787303707
baseline,MAE,294.0125166869257
baseline,MSE,193888.29784241668
baseline,MAE,297.62895160471095
baseline,MSE,195694.9390233447
baseline,MAE,282.09071206511
baseline,MSE,175700.05926489836
baseline,MAE,343.47399428603245
baseline,MSE,235516.91989891633
baseline,MAE,274.6493320178707
baseline,MSE,169552.77647582514
baseline,MAE,294.12692483165307
baseline,MSE,192658.02545300047
baseline,MAE,279.47715839487506
baseline,MSE,172547.38570481437
TRTS,MAE,897.216809191182
TRTS,MSE,1524145.080102378
TRTS,MAE,935.4937732691723
TRTS,MSE,1676287.8753290041
TRTS,MAE,912.6143906145671
TRTS,MSE,1726778.4476647335
TRTS,MAE,789.406055842239
TRTS,MSE,1363500.0860623014
TRTS,MAE,926.9353005992723
TRTS,MSE,1648481.6169159317
TRTS,MAE,903.7490228760831
TRTS,MSE,1604478.46680457
TRTS,MAE,955.6829560118834
TRTS,MSE,1792377.997550636
TRTS,MAE,896.1353254052909
TRTS,MSE,1551300.997972442
TRTS,MAE,922.4005473216612
TRTS,MSE,1663810.5663500861
TRTS,MAE,865.6330908776733
TRTS,MSE,1564381.4862600395
TSTR,MAE,768.7153270561577
TSTR,MSE,1052802.302025232
TSTR,MAE,792.503166575117
TSTR,MSE,1129269.3500874294
TSTR,MAE,750.3914043707596
TSTR,MSE,1097659.4826135521
TSTR,MAE,870.2872971750922
TSTR,MSE,1505114.8989396587
TSTR,MAE,806.5117167144718
TSTR,MSE,1269119.8592303598
TSTR,MAE,833.2134255039974
TSTR,MSE,1292318.8522460938
TSTR,MAE,867.7232008811873
TSTR,MSE,1379921.1001807812
TSTR,MAE,865.3217000252954
TSTR,MSE,1519633.4535293132
TSTR,MAE,773.7070006332416
TSTR,MSE,1240216.4705872235
TSTR,MAE,852.9866066421949
TSTR,MSE,1428200.962704431
combined,MAE,488.42689350829465
combined,MSE,402269.96021691745
combined,MAE,407.0185931457673
combined,MSE,304710.34960517974
combined,MAE,395.39649120997643
combined,MSE,296877.85717377235
combined,MAE,527.0480000099634
combined,MSE,450818.71560202766
combined,MAE,397.6862364134286
combined,MSE,285063.6457377489
combined,MAE,419.6010153146927
combined,MSE,310696.7034803862
combined,MAE,442.07091115065856
combined,MSE,345617.5469640324
combined,MAE,510.0561775418465
combined,MSE,445530.64875534584
combined,MAE,520.0331819790882
combined,MSE,442697.5194358672
combined,MAE,439.1080324177166
combined,MSE,343170.4340293542
