Model,Metric,Error
baseline,MAE,233.35434402609374
baseline,MSE,112412.43577070521
baseline,MAE,225.70624693892373
baseline,MSE,105910.12310181567
baseline,MAE,220.4309790506959
baseline,MSE,104543.57985249735
baseline,MAE,238.67958499176402
baseline,MSE,115851.93582539275
baseline,MAE,234.54758168798938
baseline,MSE,110599.88215499088
TRTS,MAE,532.9204381456781
TRTS,MSE,482237.3812549068
TRTS,MAE,634.9348522440903
TRTS,MSE,653533.437124089
TRTS,MAE,543.336073660507
TRTS,MSE,540511.451992949
TRTS,MAE,601.7053355897554
TRTS,MSE,653889.3086661773
TRTS,MAE,551.9093954535391
TRTS,MSE,576171.2727280469
TSTR,MAE,887.9016309427246
TSTR,MSE,1530621.7101072406
TSTR,MAE,824.7184486576949
TSTR,MSE,1293106.0356535795
TSTR,MAE,765.1627832209996
TSTR,MSE,1249096.0756742177
TSTR,MAE,804.3367037481439
TSTR,MSE,1178277.8916946116
TSTR,MAE,852.2484830552421
TSTR,MSE,1440259.238154227
combined,MAE,403.1803019198943
combined,MSE,316260.3010837921
combined,MAE,414.2123053471597
combined,MSE,342306.994817159
combined,MAE,371.63449267381935
combined,MSE,283055.832314585
combined,MAE,398.33961554238914
combined,MSE,313688.3838879369
combined,MAE,404.8484320566058
combined,MSE,325622.49496988486
