Model,Metric,Error
baseline,MAE,338.0727886490419
baseline,MSE,214874.91590576558
baseline,MAE,308.59802790741685
baseline,MSE,178951.3857234344
baseline,MAE,322.4612510879065
baseline,MSE,200231.41339394558
baseline,MAE,332.30074650846734
baseline,MSE,214472.16928892615
baseline,MAE,411.6240534721021
baseline,MSE,294413.7844970645
baseline,MAE,368.02056162993256
baseline,MSE,243880.36211861027
baseline,MAE,382.67717924611776
baseline,MSE,256372.625125104
baseline,MAE,342.65914483788146
baseline,MSE,226451.2939388977
baseline,MAE,373.429905285298
baseline,MSE,249072.42585576122
baseline,MAE,336.8939119179694
baseline,MSE,221826.6647844228
TRTS,MAE,393.79798175663655
TRTS,MSE,282652.544845112
TRTS,MAE,407.0919072506027
TRTS,MSE,310088.53624018916
TRTS,MAE,512.6950481444995
TRTS,MSE,450247.73338571854
TRTS,MAE,518.430173362979
TRTS,MSE,432272.62176944484
TRTS,MAE,567.4711709889993
TRTS,MSE,479057.45269886946
TRTS,MAE,401.9584454446298
TRTS,MSE,288930.34484209877
TRTS,MAE,483.1744314125953
TRTS,MSE,368293.4424443338
TRTS,MAE,453.44658823632807
TRTS,MSE,349952.7311714264
TRTS,MAE,556.3375264417723
TRTS,MSE,455986.7448137661
TRTS,MAE,384.97343090659325
TRTS,MSE,285889.01708440576
TSTR,MAE,609.311831278984
TSTR,MSE,731939.4244758311
TSTR,MAE,590.1428681986699
TSTR,MSE,701283.0515372613
TSTR,MAE,572.0439695804447
TSTR,MSE,668891.2141816695
TSTR,MAE,642.5384299499506
TSTR,MSE,777343.5783383946
TSTR,MAE,522.0309493424835
TSTR,MSE,575099.8251587047
TSTR,MAE,582.906954317323
TSTR,MSE,660290.8599538885
TSTR,MAE,566.2302158850946
TSTR,MSE,663828.4034570878
TSTR,MAE,539.6305589838508
TSTR,MSE,590553.8561922975
TSTR,MAE,634.1410217157314
TSTR,MSE,768465.7296877379
TSTR,MAE,583.4292252401759
TSTR,MSE,651206.9755898641
combined,MAE,391.7991616874933
combined,MSE,302477.15179229784
combined,MAE,367.92291994461084
combined,MSE,265591.5965488738
combined,MAE,383.94511168051355
combined,MSE,286556.9289064854
combined,MAE,384.7459500358558
combined,MSE,285172.75909699016
combined,MAE,389.47010414144944
combined,MSE,309800.6393936354
combined,MAE,386.8389044203599
combined,MSE,293428.8736509438
combined,MAE,395.22233635701343
combined,MSE,303735.12226376776
combined,MAE,389.18070857247835
combined,MSE,301887.32197446737
combined,MAE,357.77873847759525
combined,MSE,268187.1255227213
combined,MAE,385.87297199288724
combined,MSE,299458.1128948054
