Model,Metric,Error
baseline,MAE,344.9717257500324
baseline,MSE,214910.16964836078
baseline,MAE,316.5801891378114
baseline,MSE,194230.5367128587
baseline,MAE,339.49969539455543
baseline,MSE,217321.49471199882
baseline,MAE,348.5823064190401
baseline,MSE,217663.09635820054
baseline,MAE,356.71513817574777
baseline,MSE,240905.3401013044
baseline,MAE,344.42970119700044
baseline,MSE,213020.06533931388
baseline,MAE,341.67083942459925
baseline,MSE,224997.73970902187
baseline,MAE,312.9763483708383
baseline,MSE,182572.75693656516
baseline,MAE,388.64216162489964
baseline,MSE,267049.080639539
baseline,MAE,336.6458925223896
baseline,MSE,220461.8022158165
TRTS,MAE,544.6063069868322
TRTS,MSE,459520.20141034666
TRTS,MAE,427.83470601440314
TRTS,MSE,323055.2146572511
TRTS,MAE,483.5337231985476
TRTS,MSE,398225.00000414794
TRTS,MAE,377.376006801239
TRTS,MSE,254445.91952461406
TRTS,MAE,403.64503260238524
TRTS,MSE,266423.82099399436
TRTS,MAE,396.4312005739918
TRTS,MSE,265473.94155943574
TRTS,MAE,379.224934909998
TRTS,MSE,253229.73359630557
TRTS,MAE,532.9692680289209
TRTS,MSE,427002.68716268946
TRTS,MAE,367.82279573250054
TRTS,MSE,232503.89027995025
TRTS,MAE,586.5875156955742
TRTS,MSE,519973.7137472814
TSTR,MAE,569.6213794765116
TSTR,MSE,673235.1438867124
TSTR,MAE,641.44352344761
TSTR,MSE,772285.2325470229
TSTR,MAE,574.7274783789727
TSTR,MSE,658641.979695299
TSTR,MAE,599.7985990579326
TSTR,MSE,704819.8070990195
TSTR,MAE,553.538652419327
TSTR,MSE,601698.6698435915
TSTR,MAE,634.1905782509675
TSTR,MSE,760094.6786815844
TSTR,MAE,628.7855559877081
TSTR,MSE,733072.5674727694
TSTR,MAE,601.2947668155712
TSTR,MSE,700622.7802279723
TSTR,MAE,629.9004697359352
TSTR,MSE,781106.2468253418
TSTR,MAE,615.9990347386882
TSTR,MSE,713338.0510078309
combined,MAE,409.2790011086724
combined,MSE,328294.9399562118
combined,MAE,347.87467296054245
combined,MSE,248240.87899851942
combined,MAE,368.17319367574135
combined,MSE,274565.793022219
combined,MAE,374.87644225642293
combined,MSE,281475.03640700085
combined,MAE,383.9751026202256
combined,MSE,291280.48330228165
combined,MAE,376.05255915308504
combined,MSE,283058.6056460018
combined,MAE,364.6802614336492
combined,MSE,274536.01651365164
combined,MAE,376.14415666754815
combined,MSE,283349.36689425935
combined,MAE,376.8411895421819
combined,MSE,286883.9980360347
combined,MAE,384.70739727635197
combined,MSE,293876.2943223005
