Model,Metric,Error
baseline,MAE,352.53538476528837
baseline,MSE,221542.13571926978
baseline,MAE,370.4715932227776
baseline,MSE,246998.71620156025
baseline,MAE,324.67351769918287
baseline,MSE,201672.25570108983
baseline,MAE,356.19054034866497
baseline,MSE,223063.92225645555
baseline,MAE,318.0829874860044
baseline,MSE,194364.49654954064
baseline,MAE,311.80704561274655
baseline,MSE,189135.1430309508
baseline,MAE,355.68955037973717
baseline,MSE,217401.11807051368
baseline,MAE,380.49387009053584
baseline,MSE,262261.80120172835
baseline,MAE,363.3078428824813
baseline,MSE,238458.3785109713
baseline,MAE,339.297877948259
baseline,MSE,208318.60173172658
TRTS,MAE,457.82321838179024
TRTS,MSE,423571.49015829636
TRTS,MAE,460.92891895919723
TRTS,MSE,413630.99099283904
TRTS,MAE,484.6135826557037
TRTS,MSE,450335.14201962686
TRTS,MAE,459.2288412031202
TRTS,MSE,412020.7932253576
TRTS,MAE,438.1711622999323
TRTS,MSE,401362.8865322413
TRTS,MAE,470.4714290849021
TRTS,MSE,431473.2927888307
TRTS,MAE,457.78902487401297
TRTS,MSE,438374.85060463083
TRTS,MAE,461.1703473446827
TRTS,MSE,418207.2557854694
TRTS,MAE,501.6426672445622
TRTS,MSE,488070.53598928906
TRTS,MAE,468.74489103180167
TRTS,MSE,440497.90162404766
TSTR,MAE,522.7675521519789
TSTR,MSE,568875.1872207518
TSTR,MAE,521.3605462585266
TSTR,MSE,569566.8202804336
TSTR,MAE,504.8759936943967
TSTR,MSE,538828.628329482
TSTR,MAE,517.9631474341473
TSTR,MSE,552710.9499032365
TSTR,MAE,519.7306409704337
TSTR,MSE,547421.6557665226
TSTR,MAE,518.2871780352858
TSTR,MSE,561291.7243992953
TSTR,MAE,508.61254989556966
TSTR,MSE,541261.9085121456
TSTR,MAE,514.0781026547282
TSTR,MSE,555581.2191232311
TSTR,MAE,515.1668683062733
TSTR,MSE,584618.7699284657
TSTR,MAE,512.7986123884847
TSTR,MSE,544904.1271164828
combined,MAE,395.44020466574693
combined,MSE,307550.79607043933
combined,MAE,398.4016129332529
combined,MSE,308512.37567260687
combined,MAE,383.70754944255026
combined,MSE,287867.94949350005
combined,MAE,393.4533504338961
combined,MSE,312323.0524380033
combined,MAE,385.96111344997314
combined,MSE,290589.27655924414
combined,MAE,372.1739922679016
combined,MSE,271064.774018137
combined,MAE,406.0861461219234
combined,MSE,327080.99384439504
combined,MAE,416.95782024224457
combined,MSE,330912.6509575736
combined,MAE,399.9066805808057
combined,MSE,314602.0662825965
combined,MAE,393.1068237582353
combined,MSE,300783.19216457347
