Model,Metric,Error
baseline,MAE,305.1709501224105
baseline,MSE,202691.91193051517
baseline,MAE,351.9791772461031
baseline,MSE,262520.3998534542
baseline,MAE,280.33972610835923
baseline,MSE,176764.88077507028
baseline,MAE,309.8617229342927
baseline,MSE,203237.00360025887
baseline,MAE,302.18662642524583
baseline,MSE,202966.725346284
baseline,MAE,349.1829959850293
baseline,MSE,242258.62038606865
baseline,MAE,345.0995135179256
baseline,MSE,238880.0483299183
baseline,MAE,361.64387206896214
baseline,MSE,256113.0657417987
baseline,MAE,351.2939417676535
baseline,MSE,249083.76751728688
baseline,MAE,284.9056716088672
baseline,MSE,183407.10984527224
TRTS,MAE,515.3955706578265
TRTS,MSE,539302.9487007187
TRTS,MAE,546.564603346405
TRTS,MSE,576858.8996414844
TRTS,MAE,530.7990424623014
TRTS,MSE,536181.4612599997
TRTS,MAE,495.5957030979538
TRTS,MSE,474728.6833198248
TRTS,MAE,522.9424535008101
TRTS,MSE,522010.4591224863
TRTS,MAE,532.8674763459917
TRTS,MSE,566573.5928702076
TRTS,MAE,523.0787077027447
TRTS,MSE,542852.792781867
TRTS,MAE,516.123711425792
TRTS,MSE,522388.26729772665
TRTS,MAE,519.9011720871017
TRTS,MSE,534027.8624300691
TRTS,MAE,511.11718458178615
TRTS,MSE,510948.9106814959
TSTR,MAE,559.0332097496379
TSTR,MSE,725171.8084519191
TSTR,MAE,555.4306822121649
TSTR,MSE,698340.0594356386
TSTR,MAE,579.3757356244457
TSTR,MSE,770368.3368986688
TSTR,MAE,547.0048533906843
TSTR,MSE,800623.9632046905
TSTR,MAE,559.560607857694
TSTR,MSE,735015.9071733039
TSTR,MAE,583.1374648009208
TSTR,MSE,858451.5205493036
TSTR,MAE,580.5991477240426
TSTR,MSE,729077.8670799163
TSTR,MAE,579.0678578244886
TSTR,MSE,880725.667291555
TSTR,MAE,583.172942312734
TSTR,MSE,813789.7040890304
TSTR,MAE,549.7213820556167
TSTR,MSE,681733.4437413216
combined,MAE,343.5920810431708
combined,MSE,262170.1309332077
combined,MAE,422.53417302505125
combined,MSE,334545.23725009983
combined,MAE,435.68188242963527
combined,MSE,344559.7268903273
combined,MAE,462.29167187702853
combined,MSE,377642.9325864007
combined,MAE,426.4350386580919
combined,MSE,338072.6775691575
combined,MAE,388.53931563557137
combined,MSE,310259.18979054166
combined,MAE,453.71210791287024
combined,MSE,367984.3139548367
combined,MAE,456.1068525782322
combined,MSE,372935.6940555498
combined,MAE,437.132880735444
combined,MSE,347046.10289767757
combined,MAE,457.2468332864811
combined,MSE,366606.8234708188
