Model,Metric,Error
baseline,MAE,282.76298236974986
baseline,MSE,181209.29937028512
baseline,MAE,355.08609427721245
baseline,MSE,247178.60340796394
baseline,MAE,312.78904204606084
baseline,MSE,209860.59957394126
baseline,MAE,280.4221319744829
baseline,MSE,178326.19420451808
baseline,MAE,288.14560196013196
baseline,MSE,180739.8472483406
baseline,MAE,288.7703507824336
baseline,MSE,177570.29185583207
baseline,MAE,277.27494582650263
baseline,MSE,176477.5824818615
baseline,MAE,358.2677364267875
baseline,MSE,267736.6791315135
baseline,MAE,368.713364332216
baseline,MSE,270350.5168292777
baseline,MAE,285.95451445260557
baseline,MSE,182980.27973785877
TRTS,MAE,723.4498495748294
TRTS,MSE,1005483.1737697531
TRTS,MAE,695.3734962090996
TRTS,MSE,945656.7768241775
TRTS,MAE,682.9188868295591
TRTS,MSE,950247.1927688309
TRTS,MAE,695.2314177254779
TRTS,MSE,1020119.7614658081
TRTS,MAE,707.8501425935774
TRTS,MSE,960075.2874794028
TRTS,MAE,725.8788399563088
TRTS,MSE,1019572.6474557526
TRTS,MAE,727.9572209068785
TRTS,MSE,1039063.5346827648
TRTS,MAE,718.5715601626208
TRTS,MSE,992439.2502359453
TRTS,MAE,715.1820036055951
TRTS,MSE,991454.5541851133
TRTS,MAE,702.9630726330209
TRTS,MSE,991811.643205916
TSTR,MAE,672.6402907361824
TSTR,MSE,907035.5088611408
TSTR,MAE,643.682177708561
TSTR,MSE,889237.0108754296
TSTR,MAE,637.151670682091
TSTR,MSE,772008.7984340884
TSTR,MAE,692.5581398816786
TSTR,MSE,1283197.0763769485
TSTR,MAE,656.3174496785474
TSTR,MSE,829224.6015107223
TSTR,MAE,664.9511655474337
TSTR,MSE,907965.8529263773
TSTR,MAE,666.6213607873477
TSTR,MSE,853676.7279308536
TSTR,MAE,671.1303129439337
TSTR,MSE,926963.2791030919
TSTR,MAE,625.7174620488096
TSTR,MSE,782380.3944504567
TSTR,MAE,657.1138941663278
TSTR,MSE,1103768.8839385356
combined,MAE,448.1979055062403
combined,MSE,341097.67250671604
combined,MAE,458.9204524655362
combined,MSE,375418.4686577446
combined,MAE,347.9108920285945
combined,MSE,226542.91560307928
combined,MAE,453.9309259329458
combined,MSE,356147.6398782454
combined,MAE,457.8318589238917
combined,MSE,370089.9559963945
combined,MAE,445.1579151873012
combined,MSE,352184.5988494287
combined,MAE,447.19762926804844
combined,MSE,353746.80807322904
combined,MAE,437.6356664171909
combined,MSE,330839.5006829139
combined,MAE,455.20307255792443
combined,MSE,372398.9503126247
combined,MAE,431.78492680774076
combined,MSE,323493.17791546654
