Model,Metric,Error
baseline,MAE,291.12587103184677
baseline,MSE,155364.72936316958
baseline,MAE,317.36801874826494
baseline,MSE,183080.1361152103
baseline,MAE,353.800665108041
baseline,MSE,230863.9084178453
baseline,MAE,336.477024361806
baseline,MSE,216908.06687012786
baseline,MAE,317.22107829751684
baseline,MSE,195160.3859159203
baseline,MAE,364.8136560084744
baseline,MSE,258118.8017913295
baseline,MAE,322.70979765456326
baseline,MSE,190565.7931079908
baseline,MAE,368.2367622570043
baseline,MSE,251019.42417640678
baseline,MAE,347.20146704402185
baseline,MSE,216418.67027724968
baseline,MAE,351.0580499928812
baseline,MSE,227657.98471176915
TRTS,MAE,622.0487264100727
TRTS,MSE,651367.8306383176
TRTS,MAE,657.3492677792
TRTS,MSE,718028.9986196803
TRTS,MAE,581.6981544928794
TRTS,MSE,583076.9867524261
TRTS,MAE,636.5549596838948
TRTS,MSE,680863.874317801
TRTS,MAE,605.0526173178042
TRTS,MSE,622121.2541739623
TRTS,MAE,626.1479928551831
TRTS,MSE,666490.8690950775
TRTS,MAE,612.5302674534073
TRTS,MSE,637470.5808434013
TRTS,MAE,607.1197123117311
TRTS,MSE,629117.2264229805
TRTS,MAE,596.8914054568994
TRTS,MSE,597886.1068966014
TRTS,MAE,615.1643809420764
TRTS,MSE,633481.0592423234
TSTR,MAE,409.76915116770493
TSTR,MSE,339372.67621505586
TSTR,MAE,378.1083466109745
TSTR,MSE,298434.4222966986
TSTR,MAE,380.84376444633716
TSTR,MSE,302815.1157733536
TSTR,MAE,405.9280865561535
TSTR,MSE,337533.83729232184
TSTR,MAE,416.8863713936649
TSTR,MSE,349118.4967675498
TSTR,MAE,426.56596583072474
TSTR,MSE,359773.5522531473
TSTR,MAE,404.27882199634047
TSTR,MSE,339014.32942215685
TSTR,MAE,380.33311360543894
TSTR,MSE,304468.9230858744
TSTR,MAE,383.79581866021954
TSTR,MSE,304975.6761675093
TSTR,MAE,421.8183612278975
TSTR,MSE,359861.87659936387
combined,MAE,329.9661391042613
combined,MSE,201968.32643799463
combined,MAE,324.6951542407314
combined,MSE,191687.38580235184
combined,MAE,295.68168233313463
combined,MSE,172979.22221664232
combined,MAE,325.100213477924
combined,MSE,189903.70481744493
combined,MAE,327.0200326849547
combined,MSE,195427.59437452076
combined,MAE,367.4250363015303
combined,MSE,242550.84436483498
combined,MAE,319.2587757800569
combined,MSE,187933.32879998183
combined,MAE,323.63334048827124
combined,MSE,194504.99982899087
combined,MAE,372.5549211356803
combined,MSE,247969.3529905307
combined,MAE,330.1938835077063
combined,MSE,200263.34901226487
