Close,Open,High,Low,Adj Close,Volume
0.128348,0.128348,0.128906,0.128348,0.099058,469033600
0.121652,0.12221,0.12221,0.121652,0.09389,175884800
0.112723,0.113281,0.113281,0.112723,0.086999,105728000
0.115513,0.115513,0.116071,0.115513,0.089152,86441600
0.118862,0.118862,0.11942,0.118862,0.091737,73449600
0.126116,0.126116,0.126674,0.126116,0.097335,48630400
0.132254,0.132254,0.132813,0.132254,0.102072,37363200
0.137835,0.137835,0.138393,0.137835,0.10638,46950400
0.145089,0.145089,0.145647,0.145089,0.111978,48003200
0.158482,0.158482,0.15904,0.158482,0.122315,55574400
0.160714,0.160714,0.161272,0.160714,0.124038,93161600
0.156808,0.157366,0.157366,0.156808,0.121023,68880000
0.152344,0.152902,0.152902,0.152344,0.117578,35750400
0.154018,0.154018,0.155134,0.154018,0.11887,21660800
0.15067,0.151228,0.151228,0.15067,0.116286,35728000
0.143973,0.144531,0.144531,0.143973,0.111117,45158400
0.137835,0.138393,0.138393,0.137835,0.10638,55686400
0.135045,0.135603,0.135603,0.135045,0.104226,39827200
0.142299,0.142299,0.142857,0.142299,0.109825,21504000
0.141183,0.142299,0.142299,0.141183,0.108964,23699200
0.136161,0.136719,0.136719,0.136161,0.105088,23049600
0.136719,0.136719,0.137277,0.136719,0.105518,14291200
0.139509,0.139509,0.140625,0.139509,0.107672,14067200
0.138393,0.138951,0.138951,0.138393,0.10681,13395200
0.146763,0.146763,0.147321,0.146763,0.11327,41574400
0.142299,0.142857,0.142857,0.142299,0.109825,30083200
0.145089,0.145089,0.146205,0.145089,0.111978,15904000
0.146763,0.146763,0.147879,0.146763,0.11327,35548800
0.146205,0.146763,0.147321,0.146205,0.11284,11222400
0.143973,0.144531,0.144531,0.143973,0.111117,24640000
0.142857,0.143973,0.143973,0.142857,0.110256,23699200
0.138393,0.138951,0.138951,0.138393,0.10681,28156800
0.133371,0.133929,0.133929,0.133371,0.102934,43904000
0.126116,0.127232,0.127232,0.126116,0.097335,46188800
0.118862,0.11942,0.11942,0.118862,0.091737,23766400
0.123326,0.123326,0.123884,0.123326,0.095182,19152000
0.12779,0.12779,0.128348,0.12779,0.098627,27865600
0.12779,0.12779,0.128906,0.12779,0.098627,7929600
0.128348,0.128348,0.128906,0.128348,0.099058,13865600
0.121652,0.122768,0.122768,0.121652,0.09389,16755200
0.121652,0.121652,0.12221,0.121652,0.09389,18345600
0.117746,0.118304,0.118304,0.117746,0.090875,13843200
0.116629,0.117188,0.117188,0.116629,0.090013,14560000
0.113839,0.114955,0.114955,0.113839,0.08786,11155200
0.116629,0.116629,0.117188,0.116629,0.090013,12275200
0.121652,0.121652,0.122768,0.121652,0.09389,19241600
0.114397,0.114955,0.114955,0.114397,0.08829,22310400
0.108259,0.108817,0.108817,0.108259,0.083553,24371200
0.109933,0.109933,0.110491,0.109933,0.084845,14112000
0.106027,0.107143,0.107143,0.106027,0.081831,16979200
0.112723,0.112723,0.113281,0.112723,0.086999,19488000
0.114397,0.114397,0.114955,0.114397,0.08829,10841600
0.118304,0.118304,0.11942,0.118304,0.091306,14761600
0.118862,0.118862,0.11942,0.118862,0.091737,11760000
0.117188,0.117746,0.117746,0.117188,0.090445,16172800
0.116071,0.116629,0.116629,0.116071,0.089582,13708800
0.115513,0.116071,0.116071,0.115513,0.089152,5376000
0.114397,0.115513,0.115513,0.114397,0.08829,11603200
0.105469,0.106027,0.106027,0.105469,0.0814,15321600
0.100446,0.101004,0.101004,0.100446,0.077523,28380800
0.09654,0.097656,0.097656,0.09654,0.074509,29859200
0.100446,0.100446,0.101004,0.100446,0.077523,59248000
0.09933,0.099888,0.099888,0.09933,0.076662,231302400
0.103237,0.103237,0.104353,0.103237,0.079677,37228800
0.108259,0.108259,0.109375,0.108259,0.083553,43747200
0.114955,0.114955,0.116071,0.114955,0.088721,36937600
0.113839,0.114397,0.114397,0.113839,0.08786,37811200
0.114955,0.114955,0.116071,0.114955,0.088721,14604800
0.11942,0.11942,0.120536,0.11942,0.092167,22019200
0.118862,0.11942,0.11942,0.118862,0.091737,28156800
0.116629,0.117746,0.117746,0.116629,0.090013,7056000
0.114397,0.114955,0.114955,0.114397,0.08829,12275200
0.110491,0.111049,0.111049,0.110491,0.085276,12252800
0.110491,0.110491,0.111607,0.110491,0.085276,9900800
0.109375,0.110491,0.110491,0.109375,0.084415,15993600
0.108259,0.108817,0.108817,0.108259,0.083553,34070400
0.117746,0.117746,0.118304,0.117746,0.090875,31404800
0.118304,0.118304,0.118862,0.118304,0.091306,16486400
0.116071,0.116629,0.116629,0.116071,0.089582,22803200
0.114955,0.115513,0.115513,0.114955,0.088721,10684800
0.120536,0.120536,0.121652,0.120536,0.093029,21952000
0.122768,0.122768,0.123326,0.122768,0.094751,12499200
0.124442,0.124442,0.125,0.124442,0.096043,33465600
0.124442,0.124442,0.125,0.124442,0.096043,16060800
0.124442,0.124442,0.125,0.124442,0.096043,6652800
0.118304,0.118862,0.118862,0.118304,0.091306,34048000
0.111607,0.112165,0.112165,0.111607,0.086137,23878400
0.114955,0.114955,0.115513,0.114955,0.088721,35347200
0.122768,0.122768,0.123326,0.122768,0.094751,28537600
0.127232,0.127232,0.12779,0.127232,0.098196,18995200
0.13058,0.13058,0.131138,0.13058,0.10078,58016000
0.129464,0.13058,0.13058,0.129464,0.099919,35056000
0.128348,0.128906,0.128906,0.128348,0.099058,38528000
0.126116,0.126674,0.126674,0.126116,0.097335,32188800
0.124442,0.125,0.125,0.124442,0.096043,13641600
0.126674,0.126674,0.12779,0.126674,0.097766,12611200
0.126674,0.126674,0.12779,0.126674,0.097766,16553600
0.126116,0.126674,0.126674,0.126116,0.097335,14448000
0.125558,0.126116,0.126116,0.125558,0.096904,17539200
0.12221,0.122768,0.122768,0.12221,0.09432,18950400
0.123884,0.123884,0.124442,0.123884,0.095612,9363200
0.125,0.125,0.125558,0.125,0.096474,7907200
0.12221,0.122768,0.122768,0.12221,0.09432,11939200
0.12221,0.12221,0.123884,0.12221,0.09432,4256000
0.121652,0.12221,0.123326,0.121652,0.09389,4905600
0.119978,0.121094,0.121094,0.119978,0.092598,4928000
0.122768,0.122768,0.124442,0.122768,0.094751,4905600
0.125,0.125,0.126116,0.125,0.096474,4166400
0.122768,0.123326,0.123326,0.122768,0.094751,25424000
0.126674,0.126674,0.12779,0.126674,0.097766,13283200
0.133929,0.133929,0.134487,0.133929,0.103365,32211200
0.140067,0.140067,0.141183,0.140067,0.108102,31427200
0.139509,0.140067,0.140067,0.139509,0.107672,85344000
0.147321,0.147321,0.147879,0.147321,0.113701,149497600
0.147321,0.147321,0.147879,0.147321,0.113701,73987200
0.147879,0.147879,0.148438,0.147879,0.114132,59382400
0.147879,0.147879,0.148438,0.147879,0.114132,51251200
0.140625,0.141183,0.141183,0.140625,0.108533,40432000
0.140625,0.140625,0.141741,0.140625,0.108533,39446400
0.143415,0.143415,0.143973,0.143415,0.110686,56067200
0.141183,0.141741,0.141741,0.141183,0.108964,57680000
0.136161,0.136719,0.136719,0.136161,0.105088,93497600
0.138951,0.138951,0.139509,0.138951,0.107241,119593600
0.140625,0.140625,0.142299,0.140625,0.108533,25222400
0.146763,0.146763,0.147321,0.146763,0.11327,38976000
0.145089,0.145647,0.145647,0.145089,0.111978,25804800
0.144531,0.145089,0.145089,0.144531,0.111548,143763200
0.141741,0.142299,0.142299,0.141741,0.109394,37251200
0.139509,0.140067,0.140067,0.139509,0.107672,27574400
0.138951,0.139509,0.140067,0.138951,0.107241,23049600
0.135045,0.135603,0.135603,0.135045,0.104226,27507200
0.130022,0.13058,0.13058,0.130022,0.10035,10841600
0.132254,0.132254,0.133371,0.132254,0.102072,15030400
0.128906,0.130022,0.130022,0.128906,0.099488,23027200
0.131696,0.131696,0.132254,0.131696,0.101642,24259200
0.130022,0.131138,0.131138,0.130022,0.10035,23788800
0.125558,0.126674,0.126674,0.125558,0.096904,10595200
0.116071,0.116629,0.116629,0.116071,0.089582,35907200
0.114955,0.115513,0.115513,0.114955,0.088721,170464000
0.114955,0.114955,0.115513,0.114955,0.088721,30284800
0.111049,0.112165,0.112165,0.111049,0.085707,16531200
0.112165,0.112165,0.113281,0.112165,0.086568,15836800
0.116629,0.116629,0.117188,0.116629,0.090013,16620800
0.107701,0.108259,0.108259,0.107701,0.083123,32883200
0.09933,0.099888,0.099888,0.09933,0.076662,55171200
0.101563,0.101563,0.102121,0.101563,0.078385,45740800
0.106027,0.106027,0.107143,0.106027,0.081831,19779200
0.108817,0.108817,0.109375,0.108817,0.083984,10953600
0.111607,0.111607,0.112723,0.111607,0.086137,15232000
0.115513,0.115513,0.116071,0.115513,0.089152,19824000
0.107701,0.108259,0.108259,0.107701,0.083123,23654400
0.107143,0.107701,0.107701,0.107143,0.082692,31942400
0.101004,0.102121,0.102121,0.101004,0.077954,22668800
0.103795,0.103795,0.104353,0.103795,0.080108,34451200
0.107143,0.107143,0.107701,0.107143,0.082692,28851200
0.111607,0.111607,0.112165,0.111607,0.086137,17337600
0.107701,0.108259,0.108259,0.107701,0.083123,22848000
0.106027,0.106585,0.106585,0.106027,0.081831,15500800
0.109933,0.109933,0.111049,0.109933,0.084845,9900800
0.111607,0.111607,0.112165,0.111607,0.086137,10953600
0.110491,0.111607,0.111607,0.110491,0.085276,12432000
0.112165,0.112165,0.112723,0.112165,0.086568,31673600
0.115513,0.115513,0.116071,0.115513,0.089152,17494400
0.112723,0.113281,0.113281,0.112723,0.086999,10528000
0.112723,0.112723,0.113281,0.112723,0.086999,9206400
0.112723,0.112723,0.112723,0.112723,0.086999,0
0.109375,0.110491,0.110491,0.109375,0.084415,71456000
0.107143,0.107701,0.107701,0.107143,0.082692,26275200
0.103795,0.104353,0.104353,0.103795,0.080108,27484800
0.102121,0.103237,0.103237,0.102121,0.078816,24192000
0.098772,0.099888,0.099888,0.098772,0.076231,18905600
0.09654,0.097656,0.097656,0.09654,0.074509,17001600
0.095424,0.09654,0.09654,0.095424,0.073647,20675200
0.09654,0.09654,0.097098,0.09654,0.074509,17113600
0.089844,0.09096,0.09096,0.089844,0.069341,41910400
0.084263,0.084821,0.084821,0.084263,0.065033,23072000
0.086496,0.086496,0.087054,0.086496,0.066757,40700800
0.084821,0.085379,0.085379,0.084821,0.065464,33600000
0.085379,0.085379,0.085938,0.085379,0.065895,25916800
0.089844,0.089844,0.090402,0.089844,0.069341,38035200
0.089844,0.089844,0.090402,0.089844,0.069341,40947200
0.095424,0.095424,0.095982,0.095424,0.073647,37027200
0.097098,0.097098,0.097656,0.097098,0.074939,19376000
0.092076,0.093192,0.093192,0.092076,0.071063,37475200
0.09096,0.091518,0.091518,0.09096,0.070202,15254400
0.08817,0.088728,0.088728,0.08817,0.068049,25446400
0.08817,0.08817,0.088728,0.08817,0.068049,30531200
0.088728,0.088728,0.089286,0.088728,0.068479,34809600
0.087612,0.08817,0.08817,0.087612,0.067618,17539200
0.084821,0.085379,0.085379,0.084821,0.065464,27686400
0.082589,0.083147,0.083147,0.082589,0.063741,19510400
0.080915,0.081473,0.081473,0.080915,0.062449,19353600
0.078683,0.079241,0.079241,0.078683,0.060727,19376000
0.079241,0.079241,0.079799,0.079241,0.061157,26320000
0.079799,0.079799,0.080357,0.079799,0.061588,49033600
0.075335,0.075893,0.075893,0.075335,0.058143,47420800
0.073661,0.074777,0.074777,0.073661,0.056851,28201600
0.073103,0.073661,0.073661,0.073103,0.05642,18300800
0.063616,0.064732,0.064732,0.063616,0.049098,34608000
0.064174,0.064174,0.064732,0.064174,0.049529,91728000
0.067522,0.067522,0.06808,0.067522,0.052113,94684800
0.06808,0.06808,0.068638,0.06808,0.052543,49996800
0.06808,0.06808,0.068638,0.06808,0.052543,61129600
0.073661,0.073661,0.074219,0.073661,0.056851,45046400
0.075893,0.075893,0.077009,0.075893,0.058573,43097600
0.075335,0.075893,0.075893,0.075335,0.058143,28358400
0.079799,0.079799,0.080915,0.079799,0.061588,38841600
0.082589,0.082589,0.083147,0.082589,0.063741,31091200
0.083147,0.083147,0.084263,0.083147,0.064172,54521600
0.085938,0.085938,0.086496,0.085938,0.066326,27350400
0.085938,0.085938,0.087054,0.085938,0.066326,44195200
