traffic_volume,temp,rain_1h,snow_1h,clouds_all,month,hour,weather_main,weather_description,weekend,holiday
444,289.4,0.0,0.0,1,7,1,0,24,0,0
347,289.19,0.0,0.0,1,7,2,0,24,0,0
356,288.74,0.3,0.0,1,7,3,6,12,0,0
936,288.07,0.0,0.0,1,7,4,0,24,0,0
2886,287.87,0.0,0.0,1,7,5,0,24,0,0
5741,287.38,0.0,0.0,1,7,6,0,24,0,0
6261,287.58,0.0,0.0,75,7,7,1,1,0,0
4409,288.58,0.0,0.0,40,7,8,1,23,0,0
4409,288.58,0.0,0.0,40,7,9,1,23,0,0
4273,289.24,0.0,0.0,40,7,10,1,23,0,0
4469,289.44,0.0,0.0,75,7,11,1,1,0,0
4625,290.53,0.0,0.0,1,7,12,0,24,0,0
4462,292.17,0.0,0.0,1,7,13,0,24,0,0
4996,293.61,0.0,0.0,1,7,14,0,24,0,0
5623,294.85,0.0,0.0,1,7,15,0,24,0,0
6210,295.07,0.0,0.0,1,7,16,0,24,0,0
5969,295.56,0.0,0.0,1,7,17,0,24,0,0
4604,295.17,0.0,0.0,1,7,18,0,24,0,0
3649,294.86,0.0,0.0,1,7,19,0,24,0,0
3144,293.76,0.0,0.0,1,7,20,0,24,0,0
2788,291.19,0.0,0.0,1,7,21,0,24,0,0
2356,289.67,0.0,0.0,1,7,22,0,24,0,0
2820,288.1,0.0,0.0,1,7,23,0,24,0,0
1265,287.36,0.0,0.0,1,7,0,0,24,0,0
566,286.47,0.0,0.0,1,7,1,0,24,0,0
373,286.22,0.0,0.0,1,7,2,0,24,0,0
356,285.63,0.0,0.0,1,7,3,0,24,0,0
801,285.16,0.0,0.0,1,7,4,5,16,0,0
2696,285.03,0.0,0.0,1,7,5,5,16,0,0
5400,284.72,0.0,0.0,1,7,6,5,16,0,0
5933,286.44,0.0,0.0,1,7,7,0,24,0,0
4987,289.21,0.0,0.0,1,7,8,0,24,0,0
4419,289.59,0.0,0.0,1,7,9,0,24,0,0
4258,293.43,0.0,0.0,1,7,10,0,24,0,0
4816,294.9,0.0,0.0,1,7,11,0,24,0,0
5254,295.3,0.0,0.0,1,7,12,0,24,0,0
5201,296.48,0.0,0.0,40,7,13,1,23,0,0
5601,297.07,0.0,0.0,40,7,14,1,23,0,0
5707,297.59,0.0,0.0,40,7,15,1,23,0,0
5768,297.49,0.0,0.0,1,7,16,0,24,0,0
4975,297.54,0.0,0.0,1,7,17,0,24,0,0
3971,296.76,0.0,0.0,1,7,18,0,24,0,0
3532,296.34,0.0,0.0,1,7,19,0,24,0,0
2977,294.98,0.0,0.0,1,7,20,0,24,0,0
2997,293.02,0.0,0.0,1,7,21,0,24,0,0
2525,290.86,0.0,0.0,1,7,22,0,24,0,0
1657,290.37,0.0,0.0,1,7,23,0,24,0,0
959,289.2,0.0,0.0,1,7,0,0,24,0,1
615,288.04,0.0,0.0,1,7,1,0,24,0,0
456,287.7,0.0,0.0,1,7,2,5,16,0,0
359,287.43,0.0,0.0,1,7,3,5,16,0,0
464,286.81,0.0,0.0,1,7,4,0,24,0,0
961,286.05,0.0,0.0,1,7,5,0,24,0,0
1939,285.9,0.0,0.0,1,7,6,5,16,0,0
2368,287.42,0.0,0.0,1,7,7,0,24,0,0
2523,288.55,0.0,0.0,1,7,8,0,24,0,0
3227,292.11,0.0,0.0,1,7,9,0,24,0,0
3721,294.18,0.0,0.0,1,7,10,0,24,0,0
4034,295.86,0.0,0.0,1,7,11,0,24,0,0
4273,296.69,0.0,0.0,1,7,12,0,24,0,0
4380,297.67,0.0,0.0,1,7,13,0,24,0,0
4265,298.18,0.0,0.0,1,7,14,0,24,0,0
4339,298.92,0.0,0.0,1,7,15,0,24,0,0
4289,298.97,0.0,0.0,1,7,16,0,24,0,0
3526,298.85,0.0,0.0,1,7,17,0,24,0,0
3762,298.63,0.0,0.0,1,7,18,4,6,0,0
3263,297.84,0.0,0.0,1,7,19,4,6,0,0
2756,296.52,0.0,0.0,1,7,20,0,24,0,0
2740,295.08,0.0,0.0,1,7,21,5,16,0,0
3094,293.43,0.0,0.0,1,7,22,5,16,0,0
2053,292.99,0.0,0.0,1,7,23,5,16,0,0
1512,291.76,0.0,0.0,1,7,0,3,4,1,0
851,290.88,0.0,0.0,1,7,1,4,6,1,0
735,290.7,0.0,0.0,1,7,2,4,6,1,0
341,290.49,0.0,0.0,1,7,3,4,6,1,0
387,290.0,0.0,0.0,1,7,4,4,6,1,0
736,289.73,0.0,0.0,1,7,5,4,6,1,0
971,288.99,0.0,0.0,1,7,6,5,16,1,0
1403,290.3,0.0,0.0,1,7,7,4,6,1,0
1613,292.2,0.0,0.0,1,7,8,4,6,1,0
2322,294.15,0.0,0.0,1,7,9,4,6,1,0
2772,296.51,0.0,0.0,1,7,10,4,6,1,0
