traffic_volume,temp,rain_1h,snow_1h,clouds_all
1550,266.0,0.0,0.0,90
719,266.01,0.0,0.0,90
719,266.01,0.0,0.0,90
533,264.8,0.0,0.0,90
586,264.38,0.0,0.0,90
809,263.99,0.0,0.0,1
882,264.16,0.0,0.0,1
1077,264.8,0.0,0.0,75
1574,265.76,0.0,0.0,90
2059,267.61,0.0,0.0,40
3206,269.43,0.0,0.0,1
3206,269.43,0.0,0.0,1
3498,271.77,0.0,0.0,1
3453,271.98,0.0,0.0,1
3359,271.93,0.0,0.0,1
3359,271.93,0.0,0.0,1
2899,269.4,0.0,0.0,1
2899,269.4,0.0,0.0,1
2134,267.65,0.0,0.0,1
2134,267.65,0.0,0.0,1
1845,266.52,0.0,0.0,1
1280,265.51,0.0,0.0,1
1280,265.51,0.0,0.0,1
633,264.87,0.0,0.0,1
633,264.87,0.0,0.0,1
655,263.58,0.0,0.0,1
659,263.76,0.0,0.0,1
378,263.24,0.0,0.0,1
610,263.09,0.0,0.0,1
1043,263.14,0.0,0.0,1
1440,263.39,0.0,0.0,1
1880,264.19,0.0,0.0,1
2715,264.99,0.0,0.0,1
3153,267.69,0.0,0.0,1
4236,269.82,0.0,0.0,1
4236,269.82,0.0,0.0,1
4426,272.08,0.0,0.0,1
4513,272.57,0.0,0.0,1
4513,272.57,0.0,0.0,1
4498,271.62,0.0,0.0,1
4498,271.62,0.0,0.0,1
3148,269.96,0.0,0.0,1
3148,269.96,0.0,0.0,1
2649,269.35,0.0,0.0,5
2649,269.35,0.0,0.0,5
2552,269.15,0.0,0.0,75
1830,269.56,0.0,0.0,90
931,269.89,0.0,0.0,90
633,270.26,0.0,0.0,90
659,270.24,0.0,0.0,90
659,270.24,0.0,0.0,90
606,270.21,0.0,0.0,90
606,270.21,0.0,0.0,90
1347,270.11,0.0,0.0,90
1347,270.11,0.0,0.0,90
2484,270.12,0.0,0.0,75
2484,270.12,0.0,0.0,75
3286,270.68,0.0,0.0,90
3286,270.68,0.0,0.0,90
3755,270.96,0.0,0.0,90
4369,270.98,0.0,0.0,90
4369,270.98,0.0,0.0,90
4052,271.12,0.0,0.0,90
4052,271.12,0.0,0.0,90
3278,270.21,0.0,0.0,1
3278,270.21,0.0,0.0,1
1813,268.65,0.0,0.0,1
1813,268.65,0.0,0.0,1
1415,267.3,0.0,0.0,1
1415,267.3,0.0,0.0,1
476,265.36,0.0,0.0,1
476,265.36,0.0,0.0,1
270,263.51,0.0,0.0,1
270,263.51,0.0,0.0,1
410,261.64,0.0,0.0,1
2672,260.54,0.0,0.0,1
2672,260.54,0.0,0.0,1
5532,259.91,0.0,0.0,1
6234,259.25,0.0,0.0,90
5670,258.93,0.0,0.0,1
4637,261.23,0.0,0.0,75
4057,263.24,0.0,0.0,1
4235,265.88,0.0,0.0,1
4667,268.44,0.0,0.0,1
4667,268.44,0.0,0.0,1
5618,268.68,0.0,0.0,1
5618,268.68,0.0,0.0,1
6053,267.14,0.0,0.0,90
6053,267.14,0.0,0.0,90
2834,265.74,0.0,0.0,5
2834,265.74,0.0,0.0,5
1902,265.93,0.0,0.0,90
1902,265.93,0.0,0.0,90
1389,266.26,0.0,0.0,90
489,266.21,0.0,0.0,90
489,266.21,0.0,0.0,90
351,266.66,0.0,0.0,90
309,266.87,0.0,0.0,90
309,266.87,0.0,0.0,90
2692,268.43,0.0,0.0,90
2692,268.43,0.0,0.0,90
5734,268.11,0.0,0.0,40
6525,267.86,0.0,0.0,40
5762,267.61,0.0,0.0,1
4836,268.29,0.0,0.0,1
4166,269.51,0.0,0.0,75
4671,271.28,0.0,0.0,1
4671,271.28,0.0,0.0,1
4708,271.83,0.0,0.0,40
5188,271.9,0.0,0.0,1
6487,271.52,0.0,0.0,1
6487,271.52,0.0,0.0,1
4306,270.18,0.0,0.0,1
4306,270.18,0.0,0.0,1
2492,269.28,0.0,0.0,90
2492,269.28,0.0,0.0,90
1432,269.59,0.0,0.0,90
1432,269.59,0.0,0.0,90
972,270.24,0.0,0.0,90
757,270.7,0.0,0.0,90
555,270.72,0.0,0.0,90
426,270.85,0.0,0.0,90
475,270.59,0.0,0.0,90
1007,269.84,0.0,0.0,1
2772,269.3,0.0,0.0,1
5765,269.53,0.0,0.0,1
6716,269.64,0.0,0.0,1
5104,269.84,0.0,0.0,1
5104,269.84,0.0,0.0,1
4568,271.66,0.0,0.0,1
4568,271.66,0.0,0.0,1
4699,272.56,0.0,0.0,90
4889,273.2,0.25,0.0,90
5623,273.41,0.0,0.0,90
5623,273.41,0.0,0.0,90
6071,273.26,0.0,0.0,90
6071,273.26,0.0,0.0,90
2815,272.65,0.0,0.0,90
2815,272.65,0.0,0.0,90
2077,272.47,0.0,0.25,90
2077,272.47,0.0,0.25,90
926,272.39,0.0,0.0,90
926,272.39,0.0,0.0,90
558,272.54,0.0,0.0,75
323,272.49,0.0,0.0,75
315,272.54,0.0,0.0,40
524,272.49,0.0,0.0,90
1081,272.49,0.0,0.0,90
2842,272.54,0.0,0.0,90
6270,272.59,0.0,0.0,90
6270,272.59,0.0,0.0,90
4839,272.68,0.0,0.0,90
4839,272.68,0.0,0.0,90
4517,273.35,0.0,0.0,90
4517,273.35,0.0,0.0,90
4879,273.74,0.0,0.06,90
4738,273.74,0.0,0.0,90
5811,273.8,0.0,0.06,90
5811,273.8,0.0,0.06,90
6438,273.74,0.0,0.13,90
6438,273.74,0.0,0.13,90
3099,273.68,0.0,0.0,90
3099,273.68,0.0,0.0,90
2910,273.54,0.0,0.0,90
2910,273.54,0.0,0.0,90
1241,273.52,0.0,0.1,90
1241,273.52,0.0,0.1,90
628,273.35,0.0,0.06,75
359,273.28,0.0,0.17,90
401,273.22,0.0,0.08,90
401,273.22,0.0,0.08,90
815,273.02,0.0,0.0,90
2547,273.08,0.0,0.0,90
5960,272.91,0.0,0.0,90
5960,272.91,0.0,0.0,90
4749,272.98,0.0,0.0,90
4749,272.98,0.0,0.0,90
4428,273.71,0.0,0.0,90
4879,273.92,0.0,0.0,90
4879,273.92,0.0,0.0,90
4933,273.8,0.0,0.25,90
5548,273.67,0.0,0.13,90
5548,273.67,0.0,0.13,90
5982,272.56,0.0,0.0,90
5982,272.56,0.0,0.0,90
3233,271.33,0.0,0.0,90
3233,271.33,0.0,0.0,90
2506,270.15,0.0,0.0,90
2506,270.15,0.0,0.0,90
1514,268.64,0.0,0.0,90
1514,268.64,0.0,0.0,90
1107,266.47,0.0,0.0,90
690,264.72,0.0,0.0,90
480,263.8,0.0,0.0,90
273,261.09,0.0,0.0,90
273,261.09,0.0,0.0,90
850,259.73,0.0,0.0,90
850,259.73,0.0,0.0,90
1885,258.9,0.0,0.0,90
1885,258.9,0.0,0.0,90
3908,259.09,0.0,0.0,90
3908,259.09,0.0,0.0,90
4984,258.99,0.0,0.0,90
4984,258.99,0.0,0.0,90
4570,258.46,0.0,0.0,90
4570,258.46,0.0,0.0,90
4237,257.36,0.0,0.0,75
4237,257.36,0.0,0.0,75
3861,256.33,0.0,0.0,40
3861,256.33,0.0,0.0,40
2491,255.2,0.0,0.0,1
2491,255.2,0.0,0.0,1
2172,253.62,0.0,0.0,1
2172,253.62,0.0,0.0,1
1107,251.95,0.0,0.0,1
1107,251.95,0.0,0.0,1
480,251.15,0.0,0.0,1
480,251.15,0.0,0.0,1
273,250.29,0.0,0.0,1
273,250.29,0.0,0.0,1
748,249.48,0.0,0.0,1
748,249.48,0.0,0.0,1
1721,249.22,0.0,0.0,1
1721,249.22,0.0,0.0,1
2779,250.36,0.0,0.0,1
3919,251.15,0.0,0.0,1
3973,252.44,0.0,0.0,1
3393,253.08,0.0,0.0,1
3258,254.28,0.0,0.0,1
3601,254.82,0.0,0.0,1
3601,254.82,0.0,0.0,1
3240,254.65,0.0,0.0,1
3240,254.65,0.0,0.0,1
2501,251.83,0.0,0.0,1
2501,251.83,0.0,0.0,1
2941,249.87,0.0,0.0,5
2941,249.87,0.0,0.0,5
805,248.88,0.0,0.0,75
805,248.88,0.0,0.0,75
483,248.08,0.0,0.0,1
269,248.22,0.0,0.0,90
284,248.51,0.0,0.0,1
284,248.51,0.0,0.0,1
830,248.22,0.0,0.0,1
4873,248.42,0.0,0.0,1
4873,248.42,0.0,0.0,1
5494,248.61,0.0,0.0,75
5494,248.61,0.0,0.0,75
3921,250.99,0.0,0.0,40
3921,250.99,0.0,0.0,40
4135,255.21,0.0,0.0,40
4477,256.35,0.0,0.0,1
4477,256.35,0.0,0.0,1
5540,257.75,0.0,0.0,90
5540,257.75,0.0,0.0,90
5310,257.93,0.0,0.0,90
5310,257.93,0.0,0.0,90
2535,258.08,0.0,0.0,90
2535,258.08,0.0,0.0,90
1963,258.3,0.0,0.0,40
1963,258.3,0.0,0.0,40
1215,256.65,0.0,0.0,90
484,256.36,0.0,0.0,20
484,256.36,0.0,0.0,20
326,255.55,0.0,0.0,1
331,254.95,0.0,0.0,1
331,254.95,0.0,0.0,1
863,253.69,0.0,0.0,1
2577,253.29,0.0,0.0,1
5285,252.35,0.0,0.0,1
5207,251.95,0.0,0.0,1
5207,251.95,0.0,0.0,1
4070,252.36,0.0,0.0,1
4070,252.36,0.0,0.0,1
4221,254.42,0.0,0.0,1
4636,255.48,0.0,0.0,1
4636,255.48,0.0,0.0,1
5638,256.86,0.0,0.0,1
5638,256.86,0.0,0.0,1
6062,256.44,0.0,0.0,5
6062,256.44,0.0,0.0,5
2972,254.29,0.0,0.0,1
2972,254.29,0.0,0.0,1
3424,253.44,0.0,0.0,1
3424,253.44,0.0,0.0,1
1049,252.72,0.0,0.0,1
1049,252.72,0.0,0.0,1
655,252.14,0.0,0.0,1
486,251.51,0.0,0.0,1
486,251.51,0.0,0.0,1
948,252.72,0.0,0.0,40
948,252.72,0.0,0.0,40
5587,254.61,0.0,0.0,90
5587,254.61,0.0,0.0,90
6191,254.96,0.0,0.0,90
6191,254.96,0.0,0.0,90
4222,258.14,0.0,0.0,90
4222,258.14,0.0,0.0,90
4639,262.14,0.0,0.0,90
4639,262.14,0.0,0.0,90
5167,265.65,0.0,0.0,75
5167,265.65,0.0,0.0,75
6636,266.94,0.0,0.0,1
6636,266.94,0.0,0.0,1
4648,265.52,0.0,0.0,1
4648,265.52,0.0,0.0,1
2702,263.62,0.0,0.0,1
2702,263.62,0.0,0.0,1
1587,263.22,0.0,0.0,75
1587,263.22,0.0,0.0,75
1049,263.08,0.0,0.0,1
351,264.22,0.0,0.0,40
351,264.22,0.0,0.0,40
351,264.22,0.0,0.0,40
835,265.08,0.0,0.0,75
835,265.08,0.0,0.0,75
5136,265.15,0.0,0.0,90
5136,265.15,0.0,0.0,90
5714,265.65,0.0,0.0,40
5714,265.65,0.0,0.0,40
4297,266.08,0.0,0.0,90
4297,266.08,0.0,0.0,90
4754,268.08,0.0,0.0,90
4754,268.08,0.0,0.0,90
5462,269.51,0.0,0.0,90
5462,269.51,0.0,0.0,90
6713,269.58,0.0,0.0,90
6713,269.58,0.0,0.0,90
4437,269.15,0.0,0.0,90
4437,269.15,0.0,0.0,90
2826,269.22,0.0,0.0,90
2826,269.22,0.0,0.0,90
