traffic_volume,temp,rain_1h,snow_1h,clouds_all
1806,269.95,0.0,0.0,1
1211,269.75,0.0,0.0,1
794,269.65,0.0,0.0,40
500,269.48,0.0,0.0,1
513,269.22,0.0,0.0,1
821,268.9,0.0,0.0,1
950,268.34,0.0,0.0,40
1284,267.9,0.0,0.0,1
2279,267.71,0.0,0.0,20
3592,269.02,0.0,0.0,1
3500,270.34,0.0,0.0,1
3364,271.27,0.0,0.0,75
3252,271.46,0.0,0.0,90
3431,271.9,0.0,0.0,75
3585,271.71,0.0,0.0,75
3594,271.59,0.0,0.0,40
3133,271.09,0.0,0.0,1
2955,270.53,0.0,0.0,75
2412,270.47,0.0,0.0,90
1981,270.55,0.0,0.0,40
1777,270.49,0.0,0.0,90
1438,270.48,0.0,0.0,90
1043,270.55,0.0,0.0,90
798,270.62,0.0,0.0,90
522,270.55,0.0,0.0,90
457,270.49,0.0,0.0,90
363,270.42,0.0,0.0,90
508,270.49,0.0,0.0,90
849,270.49,0.0,0.0,90
1562,270.62,0.0,0.0,90
1792,270.82,0.0,0.0,90
2014,270.88,0.0,0.0,90
2401,271.55,0.0,0.0,90
2832,271.65,0.0,0.0,90
3470,272.22,0.0,0.0,90
3732,272.27,0.0,0.0,90
3750,272.42,0.0,0.0,90
3933,272.59,0.0,0.0,90
3762,272.71,0.0,0.0,90
3563,272.71,0.0,0.0,90
3261,273.02,0.0,0.0,90
2875,273.02,0.0,0.0,90
2244,272.95,0.0,0.0,90
1785,272.95,0.0,0.0,90
1660,272.95,0.0,0.0,90
1226,272.95,0.0,0.0,90
827,273.02,0.0,0.0,90
716,272.95,0.0,0.0,90
485,272.95,0.0,0.0,90
400,273.02,0.0,0.0,90
483,273.02,0.0,0.0,90
944,272.59,0.0,0.0,90
2755,272.48,0.0,0.0,90
5107,272.08,0.0,0.0,90
6065,270.82,0.0,0.0,90
5338,268.72,0.0,0.0,90
4555,265.28,0.0,0.0,90
3979,263.59,0.0,0.0,75
4008,262.78,0.0,0.0,1
4317,262.09,0.0,0.0,1
4377,262.09,0.0,0.0,40
4863,261.59,0.0,0.0,40
5290,261.21,0.0,0.0,1
6114,261.03,0.0,0.0,1
5854,260.42,0.0,0.0,1
4011,259.65,0.0,0.0,5
2697,259.09,0.0,0.0,5
2169,258.34,0.0,0.0,5
2011,257.84,0.0,0.0,5
1475,257.22,0.0,0.0,1
915,256.9,0.0,0.0,1
528,256.34,0.0,0.0,1
324,255.9,0.0,0.0,1
249,255.42,0.0,0.0,1
308,254.84,0.0,0.0,1
836,254.42,0.0,0.0,1
2603,253.72,0.0,0.0,1
5511,253.22,0.0,0.0,1
5405,252.72,0.0,0.0,1
5626,252.08,0.0,0.0,20
4667,252.02,0.0,0.0,20
4275,252.15,0.0,0.0,1
4358,253.03,0.0,0.0,1
4548,254.28,0.0,0.0,1
4423,255.42,0.0,0.0,1
4846,256.15,0.0,0.0,5
5185,256.78,0.0,0.0,5
6242,256.84,0.0,0.0,1
6034,256.53,0.0,0.0,1
4238,255.72,0.0,0.0,75
2861,255.28,0.0,0.0,40
2370,255.15,0.0,0.0,5
2421,254.47,0.0,0.0,5
1569,254.42,0.0,0.0,40
1037,254.89,0.0,0.0,90
543,254.82,0.0,0.0,90
438,254.69,0.0,0.0,90
366,254.49,0.0,0.0,90
386,253.95,0.0,0.0,90
782,253.21,0.0,0.0,90
2555,252.56,0.0,0.0,1
5242,251.89,0.0,0.0,1
5807,251.29,0.0,0.0,1
6091,250.84,0.0,0.0,1
4885,250.8,0.0,0.0,5
4383,251.84,0.0,0.0,5
4288,252.95,0.0,0.0,1
4441,254.55,0.0,0.0,1
4584,255.48,0.0,0.0,40
5088,255.78,0.0,0.0,75
5475,256.15,0.0,0.0,75
6220,255.84,0.0,0.0,40
5892,255.28,0.0,0.0,40
4344,254.59,0.0,0.0,40
3030,254.03,0.0,0.0,40
2569,253.46,0.0,0.0,75
2314,252.91,0.0,0.0,1
1699,251.96,0.0,0.0,75
1106,251.46,0.0,0.0,1
731,250.9,0.0,0.0,1
419,250.4,0.0,0.0,1
357,250.03,0.0,0.0,1
389,249.95,0.0,0.0,1
841,250.15,0.0,0.0,75
2570,249.46,0.0,0.0,75
5307,249.35,0.0,0.0,1
6058,248.84,0.0,0.0,20
5416,249.15,0.0,0.0,1
4842,249.73,0.0,0.0,1
4484,251.08,0.0,0.0,5
4583,252.83,0.0,0.0,5
4988,254.41,0.0,0.0,1
4980,256.02,0.0,0.0,1
5174,257.02,0.0,0.0,1
5553,257.68,0.0,0.0,40
6350,258.02,0.0,0.0,40
5790,257.49,0.0,0.0,40
4616,256.53,0.0,0.0,20
