traffic_volume,temp,rain_1h,snow_1h,clouds_all
444,289.4,0.0,0.0,1
347,289.19,0.0,0.0,1
356,288.74,0.3,0.0,1
936,288.07,0.0,0.0,1
2886,287.87,0.0,0.0,1
5741,287.38,0.0,0.0,1
6261,287.58,0.0,0.0,75
4409,288.58,0.0,0.0,40
4409,288.58,0.0,0.0,40
4273,289.24,0.0,0.0,40
4469,289.44,0.0,0.0,75
4625,290.53,0.0,0.0,1
4462,292.17,0.0,0.0,1
4996,293.61,0.0,0.0,1
5623,294.85,0.0,0.0,1
6210,295.07,0.0,0.0,1
5969,295.56,0.0,0.0,1
4604,295.17,0.0,0.0,1
3649,294.86,0.0,0.0,1
3144,293.76,0.0,0.0,1
2788,291.19,0.0,0.0,1
2356,289.67,0.0,0.0,1
2820,288.1,0.0,0.0,1
1265,287.36,0.0,0.0,1
566,286.47,0.0,0.0,1
373,286.22,0.0,0.0,1
356,285.63,0.0,0.0,1
801,285.16,0.0,0.0,1
2696,285.03,0.0,0.0,1
5400,284.72,0.0,0.0,1
5933,286.44,0.0,0.0,1
4987,289.21,0.0,0.0,1
4419,289.59,0.0,0.0,1
4258,293.43,0.0,0.0,1
4816,294.9,0.0,0.0,1
5254,295.3,0.0,0.0,1
5201,296.48,0.0,0.0,40
5601,297.07,0.0,0.0,40
5707,297.59,0.0,0.0,40
5768,297.49,0.0,0.0,1
4975,297.54,0.0,0.0,1
3971,296.76,0.0,0.0,1
3532,296.34,0.0,0.0,1
2977,294.98,0.0,0.0,1
2997,293.02,0.0,0.0,1
2525,290.86,0.0,0.0,1
1657,290.37,0.0,0.0,1
959,289.2,0.0,0.0,1
615,288.04,0.0,0.0,1
456,287.7,0.0,0.0,1
359,287.43,0.0,0.0,1
464,286.81,0.0,0.0,1
961,286.05,0.0,0.0,1
1939,285.9,0.0,0.0,1
2368,287.42,0.0,0.0,1
2523,288.55,0.0,0.0,1
3227,292.11,0.0,0.0,1
3721,294.18,0.0,0.0,1
4034,295.86,0.0,0.0,1
4273,296.69,0.0,0.0,1
4380,297.67,0.0,0.0,1
4265,298.18,0.0,0.0,1
4339,298.92,0.0,0.0,1
4289,298.97,0.0,0.0,1
3526,298.85,0.0,0.0,1
3762,298.63,0.0,0.0,1
3263,297.84,0.0,0.0,1
2756,296.52,0.0,0.0,1
2740,295.08,0.0,0.0,1
3094,293.43,0.0,0.0,1
2053,292.99,0.0,0.0,1
1512,291.76,0.0,0.0,1
851,290.88,0.0,0.0,1
735,290.7,0.0,0.0,1
341,290.49,0.0,0.0,1
387,290.0,0.0,0.0,1
736,289.73,0.0,0.0,1
971,288.99,0.0,0.0,1
1403,290.3,0.0,0.0,1
1613,292.2,0.0,0.0,1
2322,294.15,0.0,0.0,1
2772,296.51,0.0,0.0,1
3011,298.44,0.0,0.0,1
3156,299.1,0.0,0.0,1
3267,300.28,0.0,0.0,40
3198,300.9,0.0,0.0,40
3080,301.83,0.0,0.0,40
2795,301.72,0.0,0.0,75
2809,301.69,0.0,0.0,40
2792,300.84,0.0,0.0,1
2621,300.06,0.0,0.0,1
2598,298.64,0.0,0.0,1
2471,298.12,0.0,0.0,1
2466,295.67,0.0,0.0,1
3493,295.04,0.0,0.0,1
1710,294.18,0.0,0.0,1
838,293.32,0.0,0.0,1
656,293.03,0.0,0.0,1
338,292.6,0.3,0.0,1
293,291.56,0.0,0.0,1
451,291.31,0.0,0.0,1
798,291.09,0.0,0.0,1
1099,292.02,0.0,0.0,1
1482,293.82,0.0,0.0,40
2257,295.27,0.0,0.0,40
2710,296.67,0.0,0.0,1
3295,297.48,0.0,0.0,1
3874,298.31,0.0,0.0,1
4057,300.42,0.0,0.0,1
4009,301.53,0.0,0.0,1
3846,302.48,0.0,0.0,1
3677,302.9,0.0,0.0,1
3688,302.68,0.0,0.0,75
3740,302.01,0.0,0.0,90
3488,301.42,0.0,0.0,1
3677,300.55,0.0,0.0,1
2992,300.07,0.0,0.0,1
2278,298.85,0.0,0.0,1
1310,298.56,0.0,0.0,40
729,298.38,0.0,0.0,75
398,296.2,1.5,0.0,90
319,295.18,7.97,0.0,90
346,294.87,23.8,0.0,90
760,294.23,11.78,0.0,90
2499,294.1,7.51,0.0,90
4487,293.98,15.41,0.0,90
5199,293.85,3.13,0.0,90
4911,294.0,0.66,0.0,90
4173,294.12,0.25,0.0,75
3821,294.24,0.28,0.0,90
3998,293.35,2.15,0.0,90
4385,292.72,1.02,0.0,90
4307,290.94,0.38,0.0,75
4888,291.49,0.0,0.0,92
5205,293.22,4.57,0.0,90
6006,294.16,5.59,0.0,1
5861,294.68,0.0,0.0,40
4264,294.54,0.0,0.0,75
3040,294.02,0.0,0.0,1
2561,293.46,0.0,0.0,1
2552,290.84,0.0,0.0,40
1842,289.43,0.0,0.0,1
1112,288.34,0.0,0.0,1
623,287.4,0.0,0.0,1
392,286.53,0.0,0.0,1
283,285.72,0.0,0.0,1
331,285.0,0.6,0.0,1
797,284.35,0.0,0.0,1
2954,283.9,0.0,0.0,1
5528,283.83,0.0,0.0,1
5794,285.28,0.0,0.0,1
5340,285.84,0.0,0.0,1
4360,288.55,0.0,0.0,1
4188,289.99,0.0,0.0,1
4477,290.75,0.0,0.0,40
4370,291.58,0.0,0.0,1
4482,292.38,0.0,0.0,1
4998,293.35,0.0,0.0,75
5439,293.72,0.0,0.0,40
6368,294.11,0.0,0.0,40
6232,294.47,0.0,0.0,40
4549,294.35,0.0,0.0,1
3261,293.91,0.0,0.0,1
3007,293.0,0.0,0.0,1
2936,290.23,0.0,0.0,1
2293,287.89,0.0,0.0,1
1264,286.86,0.0,0.0,1
659,286.47,0.0,0.0,1
426,285.38,0.0,0.0,1
286,285.32,0.0,0.0,1
352,285.48,0.0,0.0,1
874,285.02,0.0,0.0,1
2956,284.96,0.0,0.0,40
5709,284.79,0.0,0.0,40
5919,286.58,0.0,0.0,40
5431,288.81,0.0,0.0,1
4707,291.45,0.0,0.0,1
4610,292.84,0.0,0.0,40
5003,293.55,0.0,0.0,40
4828,293.69,0.0,0.0,75
4887,294.51,0.0,0.0,75
5160,294.75,0.0,0.0,40
5658,295.02,0.0,0.0,75
6234,295.14,0.0,0.0,40
6163,295.24,0.0,0.0,1
4523,295.12,0.0,0.0,1
3336,294.44,0.0,0.0,1
3090,293.73,0.0,0.0,1
3133,291.58,0.0,0.0,1
2405,289.73,0.0,0.0,1
1271,288.6,0.0,0.0,1
675,288.28,0.0,0.0,1
404,287.78,0.0,0.0,1
343,287.27,0.0,0.0,75
346,287.17,0.3,0.0,1
863,286.83,0.0,0.0,90
2859,287.04,0.0,0.0,90
5742,287.09,0.0,0.0,75
6208,288.58,0.0,0.0,1
5450,291.15,0.0,0.0,1
4710,291.96,0.0,0.0,1
4388,295.02,0.0,0.0,1
4669,296.15,0.0,0.0,1
4955,297.61,0.0,0.0,1
5120,298.12,0.0,0.0,1
5391,298.73,0.0,0.0,1
5735,299.07,0.0,0.0,40
6518,299.67,0.0,0.0,40
6185,299.98,0.0,0.0,40
