Model,Metric,Error
baseline,MAE,313.0992471562095
baseline,MSE,184382.56626539235
baseline,MAE,345.38066141202415
baseline,MSE,225236.06849361968
baseline,MAE,323.5428027371076
baseline,MSE,202558.6938929138
baseline,MAE,337.89659076215514
baseline,MSE,220505.00382723956
baseline,MAE,379.1590746710418
baseline,MSE,257077.50076225222
baseline,MAE,357.79420935635414
baseline,MSE,237986.55294196485
baseline,MAE,343.0541078450394
baseline,MSE,225005.53011182824
baseline,MAE,343.0963685638468
baseline,MSE,217640.33932117608
baseline,MAE,330.7914828828103
baseline,MSE,204792.5204097645
baseline,MAE,366.88458087767515
baseline,MSE,246830.81896597904
TRTS,MAE,464.7582714152443
TRTS,MSE,434093.6461569017
TRTS,MAE,505.6781397553646
TRTS,MSE,588683.3564634722
TRTS,MAE,429.93239492262194
TRTS,MSE,424704.12538436067
TRTS,MAE,435.363810934073
TRTS,MSE,404085.5011802023
TRTS,MAE,433.358673047501
TRTS,MSE,438452.7740761182
TRTS,MAE,492.06232720167884
TRTS,MSE,606042.9715773306
TRTS,MAE,534.6782237161735
TRTS,MSE,576547.0036253846
TRTS,MAE,513.779240602529
TRTS,MSE,550491.9560593291
TRTS,MAE,446.31818496274764
TRTS,MSE,431028.99996121135
TRTS,MAE,484.62371755121035
TRTS,MSE,493154.4226582089
TSTR,MAE,415.06738289398413
TSTR,MSE,365165.44625407195
TSTR,MAE,421.26507577187306
TSTR,MSE,389756.68898191676
TSTR,MAE,429.71179680431516
TSTR,MSE,406281.09918146796
TSTR,MAE,419.80062868140664
TSTR,MSE,378023.32621221704
TSTR,MAE,402.25528662618984
TSTR,MSE,350219.03873702715
TSTR,MAE,429.5070308953328
TSTR,MSE,393259.3944297839
TSTR,MAE,416.09759234247093
TSTR,MSE,390276.71852158254
TSTR,MAE,422.927529141837
TSTR,MSE,390541.63682348066
TSTR,MAE,389.37359993335264
TSTR,MSE,331702.3892984718
TSTR,MAE,430.38798973070175
TSTR,MSE,410067.280917935
combined,MAE,389.30112948667414
combined,MSE,282630.84748522186
combined,MAE,378.85026833929226
combined,MSE,253423.51613041808
combined,MAE,368.62160457261433
combined,MSE,246103.22861309646
combined,MAE,374.7411146382211
combined,MSE,249771.30135306396
combined,MAE,376.558731479649
combined,MSE,256941.6561961038
combined,MAE,388.7881124923137
combined,MSE,274400.05044880335
combined,MAE,383.18296363330643
combined,MSE,272098.2331201675
combined,MAE,381.6799940225524
combined,MSE,260441.60613357348
combined,MAE,390.793119968348
combined,MSE,269410.24400195776
combined,MAE,383.80326952459944
combined,MSE,268914.61746295815
