Model,Metric,Error
baseline,MAE,354.508603123502
baseline,MSE,222913.96687051986
baseline,MAE,345.7093086754772
baseline,MSE,219542.15524438632
baseline,MAE,349.46558893545415
baseline,MSE,229340.41050213744
baseline,MAE,364.88589202518193
baseline,MSE,247001.22120104748
baseline,MAE,340.569956329402
baseline,MSE,216088.89142130295
baseline,MAE,328.38327952579294
baseline,MSE,204218.1627400996
baseline,MAE,340.15297599189296
baseline,MSE,223891.12097614224
baseline,MAE,335.403226801837
baseline,MSE,212799.28694028413
baseline,MAE,315.7108421961606
baseline,MSE,183195.141338462
baseline,MAE,345.82937724783386
baseline,MSE,216616.15080420265
TRTS,MAE,347.5571008212995
TRTS,MSE,167441.60302825528
TRTS,MAE,316.02717532974606
TRTS,MSE,142259.30539668677
TRTS,MAE,312.39852634445094
TRTS,MSE,131743.02134171198
TRTS,MAE,317.65898715785835
TRTS,MSE,151081.32713236392
TRTS,MAE,287.69554437825343
TRTS,MSE,112877.7085259008
TRTS,MAE,368.51506130697857
TRTS,MSE,189210.77140154867
TRTS,MAE,338.3548179971485
TRTS,MSE,150111.92024112193
TRTS,MAE,320.87574309391283
TRTS,MSE,141426.82853274603
TRTS,MAE,283.52789135682525
TRTS,MSE,121585.62969421654
TRTS,MAE,338.2480823217733
TRTS,MSE,155884.31068681867
TSTR,MAE,800.552241472126
TSTR,MSE,1464659.4633944172
TSTR,MAE,725.4159209791732
TSTR,MSE,1364615.938947264
TSTR,MAE,1028.8606298756558
TSTR,MSE,3134104.552829093
TSTR,MAE,914.3289847800335
TSTR,MSE,3255041.408640047
TSTR,MAE,839.271301293427
TSTR,MSE,1720074.1793107192
TSTR,MAE,756.404289332333
TSTR,MSE,1150142.1134547452
TSTR,MAE,916.1750058891082
TSTR,MSE,2495602.8125889124
TSTR,MAE,995.107975774469
TSTR,MSE,2742674.442648921
TSTR,MAE,840.7975981702045
TSTR,MSE,1824187.7753886487
TSTR,MAE,666.2398491654301
TSTR,MSE,919413.6717374931
combined,MAE,391.46525860336465
combined,MSE,286475.70236276457
combined,MAE,381.98139266722217
combined,MSE,258610.57408641203
combined,MAE,387.566578105197
combined,MSE,305023.0160274985
combined,MAE,364.1959292017658
combined,MSE,237537.83962860797
combined,MAE,375.1885659796461
combined,MSE,262527.42550710164
combined,MAE,398.5105833918066
combined,MSE,294349.4114224134
combined,MAE,375.6989593704192
combined,MSE,246412.51346275373
combined,MAE,365.89166420477795
combined,MSE,239785.4749702854
combined,MAE,371.5818977212192
combined,MSE,246525.7146429376
combined,MAE,363.03349119372353
combined,MSE,235309.0088036732
