Model,Metric,Error
baseline,MAE,367.59245130293806
baseline,MSE,247911.83244633634
baseline,MAE,333.5754788696346
baseline,MSE,201117.7118741871
baseline,MAE,344.8126094188069
baseline,MSE,226676.93135177484
baseline,MAE,340.1716980661305
baseline,MSE,210821.81041159475
baseline,MAE,359.7501127349449
baseline,MSE,226265.8455712538
baseline,MAE,366.8265193696593
baseline,MSE,240189.01344776287
baseline,MAE,316.241484237074
baseline,MSE,186935.2533170798
baseline,MAE,318.40817949899906
baseline,MSE,188252.06673853833
baseline,MAE,338.071164899099
baseline,MSE,219911.11804920746
baseline,MAE,310.4661135132044
baseline,MSE,172622.3379622019
TRTS,MAE,363.74088502627126
TRTS,MSE,280183.12470498873
TRTS,MAE,368.0093152556131
TRTS,MSE,283468.4133333311
TRTS,MAE,347.6675857713502
TRTS,MSE,255508.6997807475
TRTS,MAE,364.87226891574187
TRTS,MSE,262899.51117865316
TRTS,MAE,355.5511567229045
TRTS,MSE,234571.96316203565
TRTS,MAE,383.3890333222991
TRTS,MSE,281142.5972997405
TRTS,MAE,357.78465008806864
TRTS,MSE,264724.15602335177
TRTS,MAE,359.8109748892523
TRTS,MSE,266078.4624257141
TRTS,MAE,356.9431826095303
TRTS,MSE,262500.8766337088
TRTS,MAE,379.84896487843713
TRTS,MSE,273215.05534361105
TSTR,MAE,541.0038177742047
TSTR,MSE,832785.0774395141
TSTR,MAE,549.7342299681081
TSTR,MSE,681360.2926952591
TSTR,MAE,528.3415736115276
TSTR,MSE,551643.0050237059
TSTR,MAE,536.351943010166
TSTR,MSE,656510.6651508897
TSTR,MAE,548.6962704624442
TSTR,MSE,703386.4034821767
TSTR,MAE,646.5443837389054
TSTR,MSE,1248140.7862338584
TSTR,MAE,563.5586649495242
TSTR,MSE,636140.8348581118
TSTR,MAE,536.28966230917
TSTR,MSE,614793.4591445506
TSTR,MAE,562.5088225612525
TSTR,MSE,722858.7848440903
TSTR,MAE,577.9627189857554
TSTR,MSE,684914.3904392303
combined,MAE,375.527496731722
combined,MSE,286959.11403346364
combined,MAE,397.6656709370059
combined,MSE,323871.09973844874
combined,MAE,393.4004503609219
combined,MSE,311318.64047559473
combined,MAE,388.8704814619162
combined,MSE,305306.74573863717
combined,MAE,351.54342038079466
combined,MSE,257268.65385708289
combined,MAE,385.86884145638055
combined,MSE,293859.24882355734
combined,MAE,401.9317829913237
combined,MSE,303971.92052774277
combined,MAE,384.87729500811287
combined,MSE,299240.60324682394
combined,MAE,395.71377440237666
combined,MSE,315614.3841409356
combined,MAE,364.76549607294965
combined,MSE,278008.42385981843
