Model,Metric,Error
baseline,MAE,342.83452972297516
baseline,MSE,222770.9095354381
baseline,MAE,349.3250745860204
baseline,MSE,233719.50074652382
baseline,MAE,350.12734088217707
baseline,MSE,230400.27689036692
baseline,MAE,293.15262724406705
baseline,MSE,167802.68357030686
baseline,MAE,350.8889554175483
baseline,MSE,230635.34846747233
baseline,MAE,320.2329680538723
baseline,MSE,198993.04328244991
baseline,MAE,350.1903090203102
baseline,MSE,235437.7810276385
baseline,MAE,347.697835917519
baseline,MSE,230168.47948217593
baseline,MAE,326.1943327169603
baseline,MSE,207688.34629915087
baseline,MAE,327.3229734200827
baseline,MSE,197057.31491457732
TRTS,MAE,343.2886065068632
TRTS,MSE,164797.14868156033
TRTS,MAE,259.4878693099952
TRTS,MSE,95484.94116476967
TRTS,MAE,298.88484827182555
TRTS,MSE,129349.65673396258
TRTS,MAE,257.48464574690314
TRTS,MSE,94387.19274342664
TRTS,MAE,332.75856481521924
TRTS,MSE,156867.92344828424
TRTS,MAE,288.44460961786507
TRTS,MSE,112631.03890286868
TRTS,MAE,308.5716541253375
TRTS,MSE,132099.1686563775
TRTS,MAE,291.2898137267679
TRTS,MSE,119178.33763297644
TRTS,MAE,298.0041352292089
TRTS,MSE,125215.18912159406
TRTS,MAE,333.38837378721735
TRTS,MSE,151818.35398071734
TSTR,MAE,818.8657391166837
TSTR,MSE,1740869.791549009
TSTR,MAE,840.0296879260112
TSTR,MSE,1671290.0967731427
TSTR,MAE,794.7047077962591
TSTR,MSE,2732740.5519277225
TSTR,MAE,855.426101526632
TSTR,MSE,2281875.45889016
TSTR,MAE,670.528642574957
TSTR,MSE,1067474.7037977655
TSTR,MAE,980.1098647697314
TSTR,MSE,2738143.8979517943
TSTR,MAE,743.7673141776967
TSTR,MSE,1745533.5438236448
TSTR,MAE,1099.9158432553313
TSTR,MSE,4037590.439912055
TSTR,MAE,956.2281271618048
TSTR,MSE,3089105.5047925133
TSTR,MAE,571.1763832177484
TSTR,MSE,783897.9394512457
combined,MAE,367.6875265613198
combined,MSE,241343.7412895623
combined,MAE,405.4442937780224
combined,MSE,282571.47514258936
combined,MAE,361.2412866338248
combined,MSE,230399.3431343756
combined,MAE,374.9512723979186
combined,MSE,256407.69518814594
combined,MAE,397.9480521369358
combined,MSE,281262.2505677057
combined,MAE,360.25618887105037
combined,MSE,237074.00894693023
combined,MAE,391.9258923252494
combined,MSE,274807.9513393029
combined,MAE,346.59885655878713
combined,MSE,225656.53844336205
combined,MAE,376.40928031756005
combined,MSE,260395.3809308198
combined,MAE,367.4123168456512
combined,MSE,246636.71219142465
