Model,Metric,Error
baseline,MAE,342.9550138155759
baseline,MSE,226618.6915965882
baseline,MAE,344.6168829876352
baseline,MSE,226953.43271004368
baseline,MAE,320.501210201794
baseline,MSE,182713.56757588845
baseline,MAE,316.7400069441384
baseline,MSE,191048.63452816018
baseline,MAE,341.1773488641205
baseline,MSE,215095.15481272718
baseline,MAE,388.2657713164956
baseline,MSE,261317.23093073737
baseline,MAE,306.5275977701998
baseline,MSE,172292.02986728237
baseline,MAE,350.57542957968906
baseline,MSE,235162.46661607505
baseline,MAE,339.1253184155679
baseline,MSE,223803.69804610097
baseline,MAE,359.9645419411466
baseline,MSE,240387.27022085228
TRTS,MAE,436.1945126406996
TRTS,MSE,351901.39152627974
TRTS,MAE,463.96150809486875
TRTS,MSE,395314.6978416612
TRTS,MAE,483.67522452866916
TRTS,MSE,419422.59163773846
TRTS,MAE,433.8466245480511
TRTS,MSE,347308.764316497
TRTS,MAE,453.74119519928166
TRTS,MSE,379293.1989789612
TRTS,MAE,459.8669933385813
TRTS,MSE,393357.017165342
TRTS,MAE,412.51894214382264
TRTS,MSE,316613.44177434983
TRTS,MAE,449.28741977108274
TRTS,MSE,370687.31604500266
TRTS,MAE,420.61761586483755
TRTS,MSE,336095.75404495624
TRTS,MAE,423.0666452137329
TRTS,MSE,326617.2634505702
TSTR,MAE,346.91148557924515
TSTR,MSE,249871.89837060965
TSTR,MAE,372.8711829124171
TSTR,MSE,280441.9527542895
TSTR,MAE,357.2067168855766
TSTR,MSE,260482.91120324784
TSTR,MAE,369.6534528053421
TSTR,MSE,267513.0475828972
TSTR,MAE,398.4141985851616
TSTR,MSE,310257.1473011868
TSTR,MAE,372.58300715182946
TSTR,MSE,282746.01701645186
TSTR,MAE,369.7765354034558
TSTR,MSE,276650.9183642878
TSTR,MAE,378.66916306241194
TSTR,MSE,289982.26264342666
TSTR,MAE,372.7712796932049
TSTR,MSE,284973.0539431256
TSTR,MAE,361.0537195782293
TSTR,MSE,262246.6544286207
combined,MAE,305.4884278395316
combined,MSE,169222.21922806065
combined,MAE,340.79898799438206
combined,MSE,214473.21783615154
combined,MAE,318.0679262354367
combined,MSE,198566.67176623168
combined,MAE,339.75810551106014
combined,MSE,208907.96121996146
combined,MAE,323.78666853109684
combined,MSE,196449.11330876744
combined,MAE,311.8430177025699
combined,MSE,173250.54075909086
combined,MAE,344.65765191383485
combined,MSE,219930.69395117083
combined,MAE,292.6676156176096
combined,MSE,164316.8826454805
combined,MAE,322.5063676992425
combined,MSE,196785.23034108675
combined,MAE,306.2555137067545
combined,MSE,172204.34607522064
