Model,Metric,Error
baseline,MAE,340.80458403263293
baseline,MSE,219962.78474550458
baseline,MAE,341.12586408864024
baseline,MSE,211758.474793263
baseline,MAE,331.4453287912716
baseline,MSE,213694.79043384438
baseline,MAE,366.13287298549227
baseline,MSE,238369.24795279957
baseline,MAE,315.156905343415
baseline,MSE,194124.1594138414
baseline,MAE,353.05630088419144
baseline,MSE,228695.96296752663
baseline,MAE,339.71794442097905
baseline,MSE,203948.72014456478
baseline,MAE,283.58984021191867
baseline,MSE,152857.02906005637
baseline,MAE,346.22020228910196
baseline,MSE,221621.2290623764
baseline,MAE,339.9588975659768
baseline,MSE,223691.23895433146
TRTS,MAE,492.633011128163
TRTS,MSE,461532.2316964008
TRTS,MAE,494.18230336454235
TRTS,MSE,453464.3915984336
TRTS,MAE,501.9915267542256
TRTS,MSE,470573.83583530615
TRTS,MAE,504.05194772963415
TRTS,MSE,490569.09062415623
TRTS,MAE,481.45817320523935
TRTS,MSE,450640.0965367132
TRTS,MAE,540.226480158142
TRTS,MSE,540486.1365473293
TRTS,MAE,454.8143831990201
TRTS,MSE,410985.22241102287
TRTS,MAE,454.1383220312106
TRTS,MSE,410688.8053624725
TRTS,MAE,468.2072139509335
TRTS,MSE,426710.8459216852
TRTS,MAE,460.0149920373311
TRTS,MSE,430216.5427823759
TSTR,MAE,500.3197411819267
TSTR,MSE,545654.646085486
TSTR,MAE,515.3995562276799
TSTR,MSE,557216.0340572634
TSTR,MAE,513.0340984274733
TSTR,MSE,541047.5146528076
TSTR,MAE,523.0308847459878
TSTR,MSE,588974.0857409489
TSTR,MAE,513.2541667995746
TSTR,MSE,540004.6113534075
TSTR,MAE,509.85580988419207
TSTR,MSE,570541.3475085573
TSTR,MAE,501.68045089221897
TSTR,MSE,536766.753310449
TSTR,MAE,519.1020034816335
TSTR,MSE,573618.7104643511
TSTR,MAE,509.0992794260643
TSTR,MSE,544790.4981433768
TSTR,MAE,500.5835294613412
TSTR,MSE,543023.489712277
combined,MAE,405.57904194253433
combined,MSE,316717.64223871665
combined,MAE,401.3488775411962
combined,MSE,305757.0676015403
combined,MAE,390.5020323907825
combined,MSE,296987.5283568946
combined,MAE,402.0190036059685
combined,MSE,317552.3566953876
combined,MAE,391.6062747130931
combined,MSE,298753.1295376054
combined,MAE,405.0946470574594
combined,MSE,318549.67964429955
combined,MAE,386.23274380724195
combined,MSE,288538.90184613195
combined,MAE,412.08331484463014
combined,MSE,326706.726342807
combined,MAE,390.81295646915976
combined,MSE,299330.66047678806
combined,MAE,387.9919249260615
combined,MSE,288594.40802035824
