Model,Metric,Error
baseline,MAE,212.42902239118243
baseline,MSE,92484.26941165845
baseline,MAE,200.6826847747598
baseline,MSE,83797.48281131856
baseline,MAE,204.21846798009855
baseline,MSE,85810.66059881756
baseline,MAE,212.9711173514665
baseline,MSE,93414.25902384013
baseline,MAE,240.16736679471714
baseline,MSE,113502.34391726047
baseline,MAE,209.16650247951628
baseline,MSE,92578.22624720458
baseline,MAE,211.81098839189386
baseline,MSE,91594.4901566928
baseline,MAE,208.01873311054118
baseline,MSE,88111.7775616207
baseline,MAE,229.65717237789028
baseline,MSE,102966.11460499749
baseline,MAE,210.3965728745704
baseline,MSE,91262.13366247727
TRTS,MAE,1092.7825459166868
TRTS,MSE,1906779.9194670513
TRTS,MAE,1048.9387243374795
TRTS,MSE,2036840.0075368693
TRTS,MAE,1185.8241544188463
TRTS,MSE,2271380.8359147403
TRTS,MAE,1177.8317046883676
TRTS,MSE,1995463.6086526245
TRTS,MAE,883.5723726849977
TRTS,MSE,1617047.1589033331
TRTS,MAE,1338.4376052168227
TRTS,MSE,2896902.1976963873
TRTS,MAE,1163.5324217557966
TRTS,MSE,2293553.0254016505
TRTS,MAE,932.2082818312421
TRTS,MSE,1456094.5223954685
TRTS,MAE,1232.8440863453106
TRTS,MSE,2273814.2809214755
TRTS,MAE,825.2934293216302
TRTS,MSE,1375047.371850218
TSTR,MAE,1006.3006439698222
TSTR,MSE,1881523.2764075762
TSTR,MAE,987.9656841858645
TSTR,MSE,1771674.9955015709
TSTR,MAE,1013.4309543458843
TSTR,MSE,1830157.6251611607
TSTR,MAE,1048.68398545519
TSTR,MSE,1932296.0129015963
TSTR,MAE,1005.6115644736645
TSTR,MSE,1836083.7578695037
TSTR,MAE,1015.4690129198082
TSTR,MSE,1884943.663122345
TSTR,MAE,1037.8648089989824
TSTR,MSE,1873942.6327327597
TSTR,MAE,992.6488025167507
TSTR,MSE,1792888.0975390635
TSTR,MAE,1075.3092342012103
TSTR,MSE,2064900.642354953
TSTR,MAE,1089.5309956758715
TSTR,MSE,2116106.033258243
combined,MAE,362.6957315435292
combined,MSE,239004.93868491586
combined,MAE,361.14839999724023
combined,MSE,262849.7880888008
combined,MAE,369.3330519498444
combined,MSE,240328.45395134416
combined,MAE,377.202246238753
combined,MSE,254942.69304936365
combined,MAE,396.1248759396479
combined,MSE,269295.875231452
combined,MAE,359.7729422458461
combined,MSE,226707.6124622582
combined,MAE,313.84095359939926
combined,MSE,195722.4951445337
combined,MAE,393.52774771355405
combined,MSE,277735.2699803198
combined,MAE,395.3816236404466
combined,MSE,263300.53454277647
combined,MAE,387.9624428895473
combined,MSE,262965.66133893584
