Model,Metric,Error
baseline,MAE,300.17194057791164
baseline,MSE,162694.6610338894
baseline,MAE,341.8146370839275
baseline,MSE,225219.2824389199
baseline,MAE,356.7634410934759
baseline,MSE,228366.2480328593
baseline,MAE,316.2754371866164
baseline,MSE,178177.73304485655
baseline,MAE,312.8256174927236
baseline,MSE,184931.13092909733
baseline,MAE,367.45223086295834
baseline,MSE,248617.8829936606
baseline,MAE,310.77994637653023
baseline,MSE,182109.58197163633
baseline,MAE,319.3862297947348
baseline,MSE,176675.4357611815
baseline,MAE,317.65527517054704
baseline,MSE,194144.05172133713
baseline,MAE,354.87354881568274
baseline,MSE,234556.33057127
TRTS,MAE,382.74906922951186
TRTS,MSE,290522.9561958858
TRTS,MAE,517.3044078371429
TRTS,MSE,422925.31138758414
TRTS,MAE,370.8903344510645
TRTS,MSE,273291.68840031856
TRTS,MAE,379.5097786185508
TRTS,MSE,285775.1077255216
TRTS,MAE,535.7636645673994
TRTS,MSE,428840.21431254887
TRTS,MAE,366.68649840222974
TRTS,MSE,257074.61389815615
TRTS,MAE,509.37427807361075
TRTS,MSE,422265.37906760676
TRTS,MAE,364.2148420714151
TRTS,MSE,252834.73228873275
TRTS,MAE,557.9612159388676
TRTS,MSE,475597.3295612213
TRTS,MAE,477.5710504271911
TRTS,MSE,361793.7804801302
TSTR,MAE,611.4643694736787
TSTR,MSE,716706.3539279883
TSTR,MAE,588.7391172544654
TSTR,MSE,644385.4080099103
TSTR,MAE,656.8134603979975
TSTR,MSE,781432.3598078695
TSTR,MAE,548.5052135198325
TSTR,MSE,898226.4180041029
TSTR,MAE,604.2080236726458
TSTR,MSE,724975.3951932236
TSTR,MAE,598.9263638247858
TSTR,MSE,768961.8233368271
TSTR,MAE,565.7421721081863
TSTR,MSE,598309.7952700655
TSTR,MAE,551.5578780660742
TSTR,MSE,620758.2009878481
TSTR,MAE,664.2274282155057
TSTR,MSE,785876.7903900478
TSTR,MAE,608.3346786582428
TSTR,MSE,689831.8566999371
combined,MAE,373.4803558963705
combined,MSE,282530.16272496956
combined,MAE,390.95393706490876
combined,MSE,307797.0754257547
combined,MAE,369.6569110617881
combined,MSE,279080.5602411983
combined,MAE,378.57589766645515
combined,MSE,296595.43051692774
combined,MAE,372.2041540643279
combined,MSE,276377.50716693443
combined,MAE,394.9298903005014
combined,MSE,316002.5860741226
combined,MAE,382.33215046254264
combined,MSE,296307.0943782064
combined,MAE,391.9781855092922
combined,MSE,309490.24060303316
combined,MAE,366.20839907302405
combined,MSE,281254.61865726224
combined,MAE,399.25690171531807
combined,MSE,321853.64858510636
